,IMPORTER.TIN,IMPORTER.TIN_act
0,IMPO19420,282
1,IMPO11284,278
2,IMPO19469,237
3,IMPO18189,183
4,IMPO15765,180
5,IMPO18767,162
6,IMP826164,160
7,IMPO13754,158
8,IMPO15955,154
9,IMPO11316,153
10,IMPO19390,146
11,IMPO18703,143
12,IMPO13165,138
13,IMPO10267,136
14,IMPO11025,136
15,IMP450852,133
16,IMPO15276,133
17,IMPO11469,132
18,IMPO16865,132
19,IMPO18194,129
20,IMPO13181,128
21,IMPO14713,125
22,IMPO17282,124
23,IMP173637,121
24,IMPO17483,118
25,IMP243951,117
26,IMPO15533,113
27,IMP585253,113
28,IMPO13975,113
29,IMPO16351,112
30,IMPO10541,112
31,IMPO18806,111
32,IMPO11016,111
33,IMPO18475,109
34,IMP238427,109
35,IMPO10976,108
36,IMPO12228,107
37,IMPO11779,106
38,IMPO13153,106
39,IMPO17538,105
40,IMPO17253,104
41,IMPO14627,103
42,IMPO16794,102
43,IMPO18778,101
44,IMPO10723,101
45,IMPO19898,100
46,IMPO17462,100
47,IMPO15767,99
48,IMPO12985,98
49,IMPO15165,97
50,IMPO19159,97
51,IMPO19578,96
52,IMP697425,95
53,IMPO10005,94
54,IMPO13097,94
55,IMPO10210,94
56,IMPO12207,94
57,IMP152015,93
58,IMPO11353,91
59,IMPO10344,91
60,IMP124597,91
61,IMPO10700,90
62,IMP158220,90
63,IMPO14334,90
64,IMPO10423,90
65,IMPO11454,89
66,IMPO12343,88
67,IMPO17368,87
68,IMPO16622,87
69,IMPO15988,87
70,IMPO18915,87
71,IMPO13495,86
72,IMPO19080,86
73,IMP900492,85
74,IMP965305,85
75,IMPO11063,85
76,IMPO10228,85
77,IMPO10477,85
78,IMPO19613,85
79,IMPO18400,84
80,IMPO18238,84
81,IMPO19818,84
82,IMPO10763,84
83,IMPO13095,83
84,IMPO14414,83
85,IMPO15135,83
86,IMPO14455,82
87,IMP188186,81
88,IMPO14698,81
89,IMPO14730,80
90,IMPO19363,80
91,IMP142940,78
92,IMP720753,78
93,IMPO15253,78
94,IMP358915,77
95,IMPO11200,77
96,IMPO11444,77
97,IMPO15880,77
98,IMPO14301,77
99,IMP440223,76
100,IMPO17391,76
101,IMP546339,76
102,IMPO15661,76
103,IMP120631,75
104,IMPO12909,75
105,IMPO12359,75
106,IMPO17356,75
107,IMP435297,74
108,IMPO19182,74
109,IMPO12485,74
110,IMPO15506,73
111,IMPO15626,73
112,IMPO16962,73
113,IMPO15338,72
114,IMPO16887,72
115,IMP179534,71
116,IMP445164,71
117,IMP152810,70
118,IMPO19013,70
119,IMP361374,70
120,IMPO17115,69
121,IMP638175,69
122,IMPO18212,68
123,IMP576016,68
124,IMPO15783,68
125,IMP300514,68
126,IMPO14670,68
127,IMPO16873,68
128,IMPO12250,68
129,IMPO18364,68
130,IMPO18433,67
131,IMPO16658,67
132,IMPO18208,67
133,IMP616173,66
134,IMPO19132,66
135,IMPO19604,66
136,IMPO16184,66
137,IMPO10676,66
138,IMPO18597,65
139,IMP934273,65
140,IMPO15859,65
141,IMPO11394,65
142,IMPO16784,65
143,IMPO17964,64
144,IMPO12066,64
145,IMP233628,64
146,IMP451441,63
147,IMPO18472,63
148,IMP446948,63
149,IMP294703,63
150,IMPO12219,63
151,IMPO10845,63
152,IMPO18960,62
153,IMPO15321,62
154,IMP287020,62
155,IMP106237,62
156,IMP960205,61
157,IMPO19879,61
158,IMPO16822,61
159,IMPO18606,61
160,IMP712264,61
161,IMP310321,60
162,IMP317454,60
163,IMPO11075,60
164,IMPO18106,59
165,IMPO11651,59
166,IMP386453,59
167,IMPO16524,59
168,IMPO16400,59
169,IMP129307,58
170,IMPO15283,58
171,IMPO18788,58
172,IMPO10462,58
173,IMP280692,58
174,IMP830465,58
175,IMPO15732,57
176,IMP764499,57
177,IMPO18200,57
178,IMPO15707,57
179,IMPO19832,57
180,IMPO11691,56
181,IMP872565,56
182,IMPO11958,56
183,IMPO12398,56
184,IMP993091,56
185,IMP870242,56
186,IMPO18809,55
187,IMPO18716,55
188,IMP456549,55
189,IMP591216,55
190,IMP187612,55
191,IMP592970,55
192,IMP522051,55
193,IMPO15279,55
194,IMPO19655,55
195,IMP765281,54
196,IMP468811,54
197,IMP206242,54
198,IMPO10622,54
199,IMPO15487,54
200,IMP341307,54
201,IMPO13618,54
202,IMP447222,53
203,IMP720986,53
204,IMPO16428,53
205,IMPO19747,53
206,IMPO11509,53
207,IMPO13823,52
208,IMP422356,52
209,IMPO19253,52
210,IMPO12519,51
211,IMPO14035,51
212,IMPO19250,51
213,IMPO16058,51
214,IMPO16523,51
215,IMPO14890,51
216,IMP606875,51
217,IMP514650,51
218,IMP346397,51
219,IMPO15485,51
220,IMPO17820,51
221,IMP904748,50
222,IMP831109,50
223,IMP351195,50
224,IMPO17497,49
225,IMP855449,49
226,IMP122694,49
227,IMP677211,49
228,IMP475311,49
229,IMP447299,49
230,IMPO16995,48
231,IMP944455,48
232,IMP934643,48
233,IMP385327,48
234,IMP555103,48
235,IMP863463,48
236,IMPO11299,48
237,IMPO10156,47
238,IMPO18450,47
239,IMPO13783,47
240,IMPO15916,47
241,IMP633501,47
242,IMP392040,46
243,IMPO10097,46
244,IMPO16045,46
245,IMP938680,46
246,IMP355376,46
247,IMPO18898,45
248,IMP894296,45
249,IMP461608,45
250,IMP393792,45
251,IMP138552,44
252,IMP810695,44
253,IMP302697,44
254,IMP317314,44
255,IMP267369,44
256,IMP465411,43
257,IMP352125,43
258,IMP439866,43
259,IMPO17088,43
260,IMP873935,43
261,IMP322908,43
262,IMP522479,43
263,IMP165827,42
264,IMP327159,42
265,IMP595796,42
266,IMP414024,42
267,IMP355877,42
268,IMP235251,41
269,IMP715356,41
270,IMP703936,41
271,IMPO13548,40
272,IMP358094,40
273,IMP554100,40
274,IMPO18764,40
275,IMP975819,40
276,IMP496378,40
277,IMPO19590,40
278,IMP545640,40
279,IMP980531,40
280,IMPO10166,39
281,IMP643203,39
282,IMP763548,39
283,IMP412417,39
284,IMP194834,39
285,IMP286665,39
286,IMPO12183,38
287,IMP731188,38
288,IMP824798,38
289,IMP765282,38
290,IMP243487,37
291,IMP995522,37
292,IMP916902,37
293,IMP987414,37
294,IMPO15640,37
295,IMP717735,36
296,IMP832758,36
297,IMP112688,36
298,IMP307828,36
299,IMP271968,36
300,IMP955120,35
301,IMP911330,35
302,IMP165224,35
303,IMP902662,35
304,IMP648653,35
305,IMP480452,35
306,IMP294853,35
307,IMP726222,35
308,IMPO10281,35
309,IMPO15520,35
310,IMP221718,34
311,IMP555305,34
312,IMP389795,34
313,IMP157353,34
314,IMPO16235,34
315,IMP419507,34
316,IMPO18139,33
317,IMP203905,33
318,IMP871286,33
319,IMP860577,32
320,IMP734391,32
321,IMP216660,32
322,IMPO12167,32
323,IMP596580,32
324,IMPO15928,32
325,IMP450969,32
326,IMP352883,31
327,IMP474316,31
328,IMP288464,31
329,IMP191492,31
330,IMPO18361,31
331,IMP922219,30
332,IMP207129,30
333,IMPO13685,30
334,IMP130305,30
335,IMP164293,30
336,IMPO16347,30
337,IMP764530,30
338,IMP853002,30
339,IMPO15629,30
340,IMP727169,30
341,IMP156950,30
342,IMP397091,30
343,IMP662011,30
344,IMP110489,30
345,IMP179618,29
346,IMP326043,29
347,IMP252249,29
348,IMP381347,29
349,IMP660556,29
350,IMP394006,29
351,IMP759377,29
352,IMPO17778,28
353,IMP163708,27
354,IMP482566,27
355,IMP585281,27
356,IMP327939,27
357,IMP597213,27
358,IMP413429,27
359,IMP872620,26
360,IMP589573,26
361,IMP837219,26
362,IMP781588,26
363,IMPO12616,26
364,IMP142564,25
365,IMP776989,25
366,IMP439370,25
367,IMP261908,25
368,IMP442977,25
369,IMPO18141,25
370,IMP924304,25
371,IMP182858,24
372,IMP354522,24
373,IMP412513,24
374,IMP765832,24
375,IMP237401,23
376,IMP671861,23
377,IMPO16089,23
378,IMP909394,23
379,IMP715456,23
380,IMP826145,22
381,IMP566004,22
382,IMP674947,22
383,IMP805968,22
384,IMP995597,22
385,IMP117406,21
386,IMP839288,21
387,IMPO12200,21
388,IMP154351,21
389,IMP552733,20
390,IMP844837,20
391,IMP444534,20
392,IMPO12835,19
393,IMP195096,19
394,IMP904574,19
395,IMPO19981,19
396,IMP565314,19
397,IMP828157,19
398,IMP610563,19
399,IMP135970,19
400,IMP271556,18
401,IMPO14437,18
402,IMPO14431,18
403,IMP476478,18
404,IMP795744,17
405,IMP192819,17
406,IMP773454,17
407,IMP338376,17
408,IMP307848,17
409,IMP181390,17
410,IMP112691,17
411,IMPO12535,17
412,IMPO12551,17
413,IMPO15016,17
414,IMP499777,16
415,IMPO13852,16
416,IMP845208,16
417,IMP963491,16
418,IMP766474,16
419,IMPO12939,16
420,IMP829675,16
421,IMP112918,15
422,IMP693403,15
423,IMP542836,15
424,IMP849511,15
425,IMPO11058,15
426,IMP691078,15
427,IMPO12303,15
428,IMP777088,15
429,IMP970801,15
430,IMP131933,15
431,IMP226111,15
432,IMP766914,14
433,IMP178690,14
434,IMP811925,14
435,IMPO19894,14
436,IMP582709,14
437,IMPO15826,14
438,IMP992026,14
439,IMP322276,14
440,IMP229787,14
441,IMPO11760,14
442,IMP458839,14
443,IMPO14200,14
444,IMPO16593,14
445,IMPO16816,13
446,IMPO10859,13
447,IMP143460,13
448,IMP749836,13
449,IMP264163,13
450,IMP100227,13
451,IMP557327,13
452,IMPO10425,13
453,IMP933982,13
454,IMP380484,13
455,IMP115712,13
456,IMPO17720,13
457,IMP775888,13
458,IMP184760,13
459,IMPO16162,13
460,IMP792271,13
461,IMP601203,13
462,IMPO18936,13
463,IMPO17728,13
464,IMPO17627,13
465,IMP577611,12
466,IMPO10067,12
467,IMP178626,12
468,IMPO18041,12
469,IMP396753,12
470,IMP299362,12
471,IMP951496,12
472,IMP306129,12
473,IMP932066,12
474,IMP488219,12
475,IMP781895,12
476,IMP960315,12
477,IMP809423,12
478,IMPO15571,12
479,IMP236573,12
480,IMP678037,12
481,IMP397513,12
482,IMPO15272,12
483,IMP854078,12
484,IMPO10371,12
485,IMP606300,12
486,IMP553254,12
487,IMP416045,11
488,IMPO18295,11
489,IMP939638,11
490,IMPO12718,11
491,IMPO12102,11
492,IMPO17558,11
493,IMPO15943,11
494,IMP152501,11
495,IMP567352,11
496,IMP231262,11
497,IMP370421,11
498,IMP478176,11
499,IMPO13672,11
500,IMPO12494,11
501,IMPO13561,11
502,IMPO12319,11
503,IMP746057,11
504,IMP599690,11
505,IMPO14039,11
506,IMPO18350,11
507,IMP722083,11
508,IMPO14129,11
509,IMPO10880,11
510,IMPO13482,11
511,IMP693021,10
512,IMP679260,10
513,IMP841357,10
514,IMP305416,10
515,IMP705884,10
516,IMPO10899,10
517,IMPO13279,10
518,IMPO18823,10
519,IMP502913,10
520,IMP517747,10
521,IMPO11695,10
522,IMPO18647,10
523,IMP369394,10
524,IMP993456,10
525,IMP901579,10
526,IMP683347,10
527,IMP788106,10
528,IMPO11104,10
529,IMP442440,10
530,IMP171643,10
531,IMPO15852,10
532,IMPO17929,10
533,IMPO12592,10
534,IMP560489,10
535,IMPO12258,10
536,IMPO19876,10
537,IMP684592,10
538,IMPO12612,10
539,IMP349927,10
540,IMP787442,10
541,IMP665827,10
542,IMP140954,10
543,IMPO19601,10
544,IMPO15391,10
545,IMP409629,10
546,IMP747425,9
547,IMPO12891,9
548,IMP837081,9
549,IMP955957,9
550,IMPO10810,9
551,IMPO19906,9
552,IMP856058,9
553,IMPO13867,9
554,IMPO15592,9
555,IMPO17999,9
556,IMP818665,9
557,IMP518144,9
558,IMP386064,9
559,IMPO16473,9
560,IMPO11503,9
561,IMPO17450,9
562,IMPO10661,9
563,IMP798907,9
564,IMPO13247,9
565,IMP473850,9
566,IMPO11445,9
567,IMPO13856,9
568,IMPO13696,9
569,IMPO15403,9
570,IMP479537,9
571,IMPO10583,9
572,IMPO14011,9
573,IMPO13631,9
574,IMPO12121,9
575,IMP879917,9
576,IMP395619,9
577,IMP592777,9
578,IMPO11027,9
579,IMP664230,9
580,IMPO12075,9
581,IMPO13473,9
582,IMPO15535,9
583,IMP215625,9
584,IMP498384,9
585,IMPO19554,9
586,IMP413706,9
587,IMPO19096,9
588,IMPO17329,9
589,IMPO15719,9
590,IMPO16088,9
591,IMP668188,9
592,IMP239127,9
593,IMPO19366,9
594,IMPO15817,9
595,IMP854194,9
596,IMPO17225,8
597,IMPO12186,8
598,IMPO18268,8
599,IMPO11679,8
600,IMPO17491,8
601,IMPO16898,8
602,IMPO10529,8
603,IMPO16059,8
604,IMPO15666,8
605,IMP822061,8
606,IMP657028,8
607,IMP525727,8
608,IMPO16735,8
609,IMPO14700,8
610,IMPO18876,8
611,IMP733694,8
612,IMPO18090,8
613,IMPO10377,8
614,IMP706385,8
615,IMPO14044,8
616,IMPO19264,8
617,IMPO11483,8
618,IMPO12145,8
619,IMPO13673,8
620,IMP377749,8
621,IMP300156,8
622,IMPO16169,8
623,IMP223095,8
624,IMP637196,8
625,IMPO12520,8
626,IMP773239,8
627,IMP261529,8
628,IMPO10646,8
629,IMPO12986,8
630,IMPO13502,8
631,IMPO11934,8
632,IMP729046,8
633,IMP249306,8
634,IMP293794,8
635,IMP838573,8
636,IMP434478,8
637,IMP921674,8
638,IMP434684,8
639,IMPO16763,8
640,IMPO10804,8
641,IMPO18144,8
642,IMPO13804,8
643,IMP810832,8
644,IMPO17587,8
645,IMP690700,8
646,IMP284366,8
647,IMPO12763,8
648,IMP502946,8
649,IMPO18674,8
650,IMP376764,8
651,IMP654182,8
652,IMPO10973,8
653,IMP638768,8
654,IMP212181,7
655,IMP979830,7
656,IMPO17390,7
657,IMPO15006,7
658,IMPO18031,7
659,IMP399261,7
660,IMP395717,7
661,IMPO13481,7
662,IMP433685,7
663,IMP517696,7
664,IMPO16208,7
665,IMPO11916,7
666,IMPO19574,7
667,IMP954081,7
668,IMPO13774,7
669,IMP449918,7
670,IMPO10680,7
671,IMP329077,7
672,IMP418859,7
673,IMPO18932,7
674,IMP317376,7
675,IMPO17023,7
676,IMPO15335,7
677,IMP207821,7
678,IMPO16361,7
679,IMPO18510,7
680,IMP908451,7
681,IMPO11671,7
682,IMP244709,7
683,IMPO16253,7
684,IMPO17280,7
685,IMP368858,7
686,IMPO19022,7
687,IMPO10711,7
688,IMPO13297,7
689,IMPO12064,7
690,IMPO17140,7
691,IMP163166,7
692,IMPO17243,7
693,IMP540303,7
694,IMPO15083,7
695,IMPO14462,7
696,IMP421158,7
697,IMPO16486,7
698,IMPO15490,7
699,IMPO17075,7
700,IMP583474,7
