,IMPORTER.TIN&&ORIGIN.CODE,IMPORTER.TIN&&ORIGIN.CODE_illicit_Qsum,IMPORTER.TIN&&ORIGIN.CODE_illicit_Qrate
0,IMP545640&&CNTRY680,1,1
1,IMP252323&&CNTRY376,0,0
2,IMP194834&&CNTRY680,1,1
3,IMP668188&&CNTRY277,0,0
4,IMP395619&&CNTRY759,0,0
5,IMP450852&&CNTRY759,1,1
6,IMP911330&&CNTRY680,1,1
7,IMP450852&&CNTRY680,1,1
8,IMP514650&&CNTRY376,0,0
9,IMP450969&&CNTRY562,0,0
10,IMP158220&&CNTRY759,0,0
11,IMP173637&&CNTRY830,0,0
12,IMP705884&&CNTRY759,0,0
13,IMP697888&&CNTRY891,0,1
14,IMP741011&&CNTRY615,0,0
15,IMP762355&&CNTRY713,0,0
16,IMP468811&&CNTRY680,0,0
17,IMP720753&&CNTRY759,1,1
18,IMP638768&&CNTRY680,0,0
19,IMP993091&&CNTRY615,0,1
20,IMP331888&&CNTRY454,0,0
21,IMP346397&&CNTRY759,0,0
22,IMP582640&&CNTRY680,0,0
23,IMP575285&&CNTRY562,0,0
24,IMP129307&&CNTRY680,0,0
25,IMP465411&&CNTRY680,0,0
26,IMP142940&&CNTRY759,0,0
27,IMP275266&&CNTRY264,0,1
28,IMP417830&&CNTRY975,0,0
29,IMP482566&&CNTRY376,0,1
30,IMP522051&&CNTRY562,0,0
31,IMP731188&&CNTRY680,1,1
32,IMP664947&&CNTRY771,0,1
33,IMP300514&&CNTRY680,1,1
34,IMP871286&&CNTRY680,0,0
35,IMP165224&&CNTRY994,0,0
36,IMP830465&&CNTRY216,0,0
37,IMP358915&&CNTRY759,1,1
38,IMP905084&&CNTRY759,0,0
39,IMP152810&&CNTRY615,0,0
40,IMP837219&&CNTRY680,0,0
41,IMP902662&&CNTRY680,0,0
42,IMP585253&&CNTRY680,1,1
43,IMP451441&&CNTRY759,0,1
44,IMP294703&&CNTRY680,0,0
45,IMP566902&&CNTRY680,0,0
46,IMP446948&&CNTRY680,0,0
47,IMP662011&&CNTRY680,0,0
48,IMP934643&&CNTRY759,0,1
49,IMP235251&&CNTRY376,0,0
50,IMP261908&&CNTRY713,0,0
51,IMP576016&&CNTRY680,0,0
52,IMP602640&&CNTRY622,0,0
53,IMP418859&&CNTRY976,0,0
54,IMP165224&&CNTRY680,0,1
55,IMP158220&&CNTRY680,0,0
56,IMP284988&&CNTRY454,0,0
57,IMP960205&&CNTRY376,0,0
58,IMP970801&&CNTRY680,0,0
59,IMP496378&&CNTRY454,0,0
60,IMP124597&&CNTRY759,1,1
61,IMP721342&&CNTRY994,0,0
62,IMP826164&&CNTRY680,1,1
63,IMP762355&&CNTRY562,0,0
64,IMP435297&&CNTRY680,0,0
65,IMP238427&&CNTRY881,0,0
66,IMP179534&&CNTRY680,0,0
67,IMP261031&&CNTRY759,0,0
68,IMP765282&&CNTRY277,0,0
69,IMP322908&&CNTRY680,0,1
70,IMP853002&&CNTRY873,0,0
71,IMP976580&&CNTRY680,0,0
72,IMP934643&&CNTRY680,0,1
73,IMP865057&&CNTRY759,0,1
74,IMP697425&&CNTRY680,0,0
75,IMP839288&&CNTRY759,1,1
76,IMP235251&&CNTRY680,1,1
77,IMP142940&&CNTRY680,0,0
78,IMP152015&&CNTRY277,0,1
79,IMP337218&&CNTRY473,0,1
80,IMP845278&&CNTRY959,0,0
81,IMP152810&&CNTRY759,1,1
82,IMP764499&&CNTRY150,0,0
83,IMP444534&&CNTRY562,0,0
84,IMP112691&&CNTRY680,0,1
85,IMP509522&&CNTRY680,0,0
86,IMP715456&&CNTRY759,0,0
87,IMP173637&&CNTRY680,0,0
88,IMP130305&&CNTRY759,0,1
89,IMP654182&&CNTRY680,0,0
90,IMP965305&&CNTRY759,1,1
91,IMP473850&&CNTRY680,0,0
92,IMP397091&&CNTRY454,0,0
93,IMP365475&&CNTRY748,0,0
94,IMP461608&&CNTRY277,0,1
95,IMP422356&&CNTRY680,1,1
96,IMP132928&&CNTRY680,0,0
97,IMP120631&&CNTRY680,1,1
98,IMP317454&&CNTRY680,0,0
99,IMP446948&&CNTRY962,0,0
100,IMP592970&&CNTRY680,0,0
101,IMP243951&&CNTRY680,1,0
102,IMP830465&&CNTRY680,0,0
103,IMP358915&&CNTRY680,1,1
104,IMP351195&&CNTRY884,0,1
105,IMP995597&&CNTRY759,0,1
106,IMP943231&&CNTRY825,0,0
107,IMP522051&&CNTRY680,0,0
108,IMP482566&&CNTRY759,0,0
109,IMP715356&&CNTRY680,0,0
110,IMP616856&&CNTRY759,0,0
