IMPORTER.TIN&&ORIGIN.CODE,IMPORTER.TIN&&ORIGIN.CODE_illicit_sum,IMPORTER.TIN&&ORIGIN.CODE_illicit_rate
IMP100143&&CNTRY480,0,0.0
IMP100143&&CNTRY659,0,0.0
IMP100143&&CNTRY825,1,1.0
IMP100185&&CNTRY323,0,0.0
IMP100185&&CNTRY576,0,0.0
IMP100227&&CNTRY276,0,0.0
IMP100227&&CNTRY277,1,0.25
IMP100227&&CNTRY284,0,0.0
IMP100227&&CNTRY376,0,0.0
IMP100227&&CNTRY454,0,0.0
IMP100227&&CNTRY555,0,0.0
IMP100227&&CNTRY562,0,0.0
IMP100227&&CNTRY576,0,0.0
IMP100227&&CNTRY615,0,0.0
IMP100227&&CNTRY653,0,0.0
IMP100227&&CNTRY654,0,0.0
IMP100227&&CNTRY656,0,0.0
IMP100227&&CNTRY680,0,0.0
IMP100227&&CNTRY759,1,0.07142857142857142
IMP100227&&CNTRY881,0,0.0
IMP100227&&CNTRY884,0,0.0
IMP100227&&CNTRY975,0,0.0
IMP100326&&CNTRY436,0,0.0
IMP100326&&CNTRY680,0,0.0
IMP100762&&CNTRY385,1,1.0
IMP100955&&CNTRY171,1,1.0
IMP100955&&CNTRY376,0,0.0
IMP100993&&CNTRY125,1,1.0
IMP100993&&CNTRY277,0,0.0
IMP101045&&CNTRY317,1,1.0
IMP101045&&CNTRY562,0,0.0
IMP101058&&CNTRY656,1,1.0
IMP101058&&CNTRY881,0,0.0
IMP101058&&CNTRY919,0,0.0
IMP101341&&CNTRY316,0,0.0
IMP101341&&CNTRY454,0,0.0
IMP101341&&CNTRY680,0,0.0
IMP101341&&CNTRY759,0,0.0
IMP101341&&CNTRY830,0,0.0
IMP101355&&CNTRY188,0,0.0
IMP101355&&CNTRY321,0,0.0
IMP101355&&CNTRY351,1,1.0
IMP101372&&CNTRY653,1,1.0
IMP101372&&CNTRY680,0,0.0
IMP101372&&CNTRY759,0,0.0
IMP101372&&CNTRY765,0,0.0
IMP101413&&CNTRY759,0,0.0
IMP101469&&CNTRY234,0,0.0
IMP101469&&CNTRY264,0,0.0
IMP101469&&CNTRY328,0,0.0
IMP101469&&CNTRY759,0,0.0
IMP101469&&CNTRY994,0,0.0
IMP101544&&CNTRY262,0,0.0
IMP101752&&CNTRY759,0,0.0
IMP101752&&CNTRY881,0,0.0
IMP101870&&CNTRY351,0,0.0
IMP101870&&CNTRY680,0,0.0
IMP101870&&CNTRY759,0,0.0
IMP101870&&CNTRY771,1,1.0
IMP101870&&CNTRY881,1,1.0
IMP101911&&CNTRY528,0,0.0
IMP102011&&CNTRY438,0,0.0
IMP102011&&CNTRY759,0,0.0
IMP102036&&CNTRY454,0,0.0
IMP102036&&CNTRY994,0,0.0
IMP102239&&CNTRY652,1,1.0
IMP102358&&CNTRY263,1,1.0
IMP102358&&CNTRY278,0,0.0
IMP102358&&CNTRY995,0,0.0
IMP102504&&CNTRY454,0,0.0
IMP102504&&CNTRY680,0,0.0
IMP102595&&CNTRY562,0,0.0
IMP102851&&CNTRY168,0,0.0
IMP102851&&CNTRY454,0,0.0
IMP102903&&CNTRY277,1,1.0
IMP102903&&CNTRY376,0,0.0
IMP102903&&CNTRY448,0,0.0
IMP102903&&CNTRY618,0,0.0
IMP102903&&CNTRY656,0,0.0
IMP102903&&CNTRY680,0,0.0
IMP102903&&CNTRY759,0,0.0
IMP103000&&CNTRY376,0,0.0
IMP103000&&CNTRY652,0,0.0
IMP103000&&CNTRY680,0,0.0
IMP103000&&CNTRY759,0,0.0
IMP103000&&CNTRY846,0,0.0
IMP103000&&CNTRY884,0,0.0
IMP103242&&CNTRY615,0,0.0
IMP103242&&CNTRY759,0,0.0
IMP103242&&CNTRY881,0,0.0
IMP103460&&CNTRY216,0,0.0
IMP103505&&CNTRY262,0,0.0
IMP103505&&CNTRY263,0,0.0
IMP103505&&CNTRY349,0,0.0
IMP103505&&CNTRY376,0,0.0
IMP103505&&CNTRY680,0,0.0
IMP103505&&CNTRY819,1,0.5
IMP103505&&CNTRY837,0,0.0
IMP103505&&CNTRY859,0,0.0
IMP103505&&CNTRY881,0,0.0
IMP103505&&CNTRY988,0,0.0
IMP103515&&CNTRY825,1,1.0
IMP103712&&CNTRY284,0,0.0
IMP103712&&CNTRY321,1,1.0
IMP103712&&CNTRY680,0,0.0
IMP103793&&CNTRY376,0,0.0
IMP104261&&CNTRY311,1,1.0
IMP104291&&CNTRY140,1,1.0
IMP104291&&CNTRY153,0,0.0
IMP104291&&CNTRY278,0,0.0
IMP104291&&CNTRY376,0,0.0
IMP104291&&CNTRY680,0,0.0
IMP104291&&CNTRY874,0,0.0
IMP104457&&CNTRY759,0,0.0
IMP104513&&CNTRY680,0,0.0
IMP104514&&CNTRY140,0,0.0
IMP104514&&CNTRY415,0,0.0
IMP104514&&CNTRY759,0,0.0
IMP104521&&CNTRY709,1,1.0
IMP104558&&CNTRY438,1,1.0
IMP104936&&CNTRY825,0,0.0
IMP105011&&CNTRY263,1,1.0
IMP105011&&CNTRY264,1,1.0
IMP105011&&CNTRY284,0,0.0
IMP105011&&CNTRY528,1,1.0
IMP105011&&CNTRY748,1,1.0
IMP105011&&CNTRY988,1,1.0
IMP105110&&CNTRY376,0,0.0
IMP105110&&CNTRY622,0,0.0
IMP105110&&CNTRY859,0,0.0
IMP105158&&CNTRY528,0,0.0
IMP105313&&CNTRY376,0,0.0
IMP105313&&CNTRY759,0,0.0
IMP105313&&CNTRY884,1,1.0
IMP105423&&CNTRY277,0,0.0
IMP105423&&CNTRY376,0,0.0
IMP105445&&CNTRY454,0,0.0
IMP105445&&CNTRY644,0,0.0
IMP105445&&CNTRY756,0,0.0
IMP105664&&CNTRY321,0,0.0
IMP105664&&CNTRY323,1,1.0
IMP105664&&CNTRY376,0,0.0
IMP105664&&CNTRY680,0,0.0
IMP105664&&CNTRY785,0,0.0
IMP105879&&CNTRY376,0,0.0
IMP105879&&CNTRY429,0,0.0
IMP106124&&CNTRY379,1,1.0
IMP106205&&CNTRY364,0,0.0
IMP106205&&CNTRY376,0,0.0
IMP106205&&CNTRY615,0,0.0
IMP106205&&CNTRY680,0,0.0
IMP106237&&CNTRY113,0,0.0
IMP106237&&CNTRY140,1,1.0
IMP106237&&CNTRY153,0,0.0
IMP106237&&CNTRY277,1,0.1
IMP106237&&CNTRY284,1,0.5
IMP106237&&CNTRY317,0,0.0
IMP106237&&CNTRY323,1,1.0
IMP106237&&CNTRY376,1,0.017241379310344827
IMP106237&&CNTRY378,0,0.0
IMP106237&&CNTRY429,0,0.0
IMP106237&&CNTRY454,0,0.0
IMP106237&&CNTRY473,0,0.0
IMP106237&&CNTRY527,0,0.0
IMP106237&&CNTRY546,0,0.0
IMP106237&&CNTRY558,1,1.0
IMP106237&&CNTRY562,0,0.0
IMP106237&&CNTRY576,0,0.0
IMP106237&&CNTRY615,0,0.0
IMP106237&&CNTRY622,0,0.0
IMP106237&&CNTRY644,0,0.0
IMP106237&&CNTRY653,1,0.5
IMP106237&&CNTRY656,1,0.2
IMP106237&&CNTRY680,0,0.0
IMP106237&&CNTRY759,1,0.012195121951219513
IMP106237&&CNTRY825,0,0.0
IMP106237&&CNTRY846,0,0.0
IMP106237&&CNTRY873,0,0.0
IMP106237&&CNTRY874,0,0.0
IMP106237&&CNTRY881,0,0.0
IMP106237&&CNTRY884,0,0.0
IMP106237&&CNTRY975,0,0.0
IMP106237&&CNTRY994,0,0.0
IMP106616&&CNTRY234,0,0.0
IMP106825&&CNTRY622,0,0.0
IMP107008&&CNTRY930,1,1.0
IMP107102&&CNTRY311,0,0.0
IMP107102&&CNTRY376,0,0.0
IMP107102&&CNTRY491,1,1.0
IMP107102&&CNTRY562,0,0.0
IMP107102&&CNTRY615,0,0.0
IMP107102&&CNTRY680,0,0.0
IMP107102&&CNTRY759,0,0.0
IMP107182&&CNTRY113,0,0.0
IMP107182&&CNTRY393,1,1.0
IMP107196&&CNTRY328,0,0.0
IMP107196&&CNTRY376,0,0.0
IMP107196&&CNTRY436,1,1.0
IMP107241&&CNTRY168,0,0.0
IMP107241&&CNTRY376,0,0.0
IMP107241&&CNTRY555,0,0.0
IMP107241&&CNTRY562,0,0.0
IMP107241&&CNTRY615,0,0.0
IMP107241&&CNTRY653,0,0.0
IMP107241&&CNTRY884,0,0.0
IMP107345&&CNTRY349,0,0.0
IMP107345&&CNTRY618,0,0.0
IMP107345&&CNTRY759,0,0.0
IMP107373&&CNTRY680,0,0.0
IMP107373&&CNTRY930,1,1.0
IMP107380&&CNTRY138,0,0.0
IMP107442&&CNTRY376,0,0.0
IMP107442&&CNTRY454,1,1.0
IMP107442&&CNTRY480,0,0.0
IMP107442&&CNTRY680,0,0.0
IMP107442&&CNTRY917,1,1.0
IMP107534&&CNTRY527,0,0.0
IMP107695&&CNTRY680,0,0.0
IMP107695&&CNTRY995,0,0.0
IMP107856&&CNTRY277,0,0.0
IMP107856&&CNTRY771,1,1.0
IMP107864&&CNTRY349,0,0.0
IMP107927&&CNTRY454,0,0.0
IMP107927&&CNTRY480,1,1.0
IMP107927&&CNTRY994,0,0.0
IMP108058&&CNTRY323,1,1.0
IMP108058&&CNTRY771,0,0.0
IMP108162&&CNTRY680,0,0.0
IMP108162&&CNTRY759,0,0.0
IMP108162&&CNTRY884,1,1.0
IMP108282&&CNTRY959,0,0.0
IMP108297&&CNTRY376,0,0.0
IMP108297&&CNTRY379,0,0.0
IMP108528&&CNTRY407,0,0.0
IMP108528&&CNTRY618,1,1.0
IMP108534&&CNTRY311,0,0.0
IMP108534&&CNTRY680,0,0.0
IMP108534&&CNTRY709,0,0.0
IMP108660&&CNTRY376,0,0.0
IMP108660&&CNTRY659,1,1.0
IMP108660&&CNTRY680,0,0.0
IMP108660&&CNTRY819,1,1.0
IMP108764&&CNTRY277,0,0.0
IMP108764&&CNTRY328,1,1.0
IMP108764&&CNTRY615,0,0.0
IMP108764&&CNTRY884,0,0.0
IMP108769&&CNTRY680,0,0.0
IMP108897&&CNTRY473,0,0.0
IMP108897&&CNTRY527,0,0.0
IMP108897&&CNTRY615,0,0.0
IMP108897&&CNTRY748,0,0.0
IMP108897&&CNTRY759,0,0.0
IMP108897&&CNTRY859,0,0.0
IMP108897&&CNTRY881,0,0.0
IMP108969&&CNTRY277,0,0.0
IMP108969&&CNTRY376,0,0.0
IMP108969&&CNTRY615,1,1.0
IMP108969&&CNTRY994,1,1.0
IMP109033&&CNTRY376,0,0.0
IMP109033&&CNTRY527,0,0.0
IMP109033&&CNTRY615,1,1.0
IMP109033&&CNTRY680,0,0.0
IMP109033&&CNTRY713,0,0.0
IMP109033&&CNTRY759,0,0.0
IMP109033&&CNTRY825,0,0.0
IMP109040&&CNTRY349,1,1.0
IMP109040&&CNTRY454,0,0.0
IMP109040&&CNTRY759,0,0.0
IMP109328&&CNTRY680,0,0.0
IMP109473&&CNTRY140,0,0.0
IMP109771&&CNTRY139,1,1.0
IMP109771&&CNTRY264,0,0.0
IMP109771&&CNTRY615,0,0.0
IMP109771&&CNTRY859,0,0.0
IMP109772&&CNTRY139,0,0.0
IMP109772&&CNTRY448,0,0.0
IMP109772&&CNTRY615,0,0.0
IMP109772&&CNTRY976,0,0.0
IMP109890&&CNTRY311,1,1.0
IMP109890&&CNTRY680,0,0.0
IMP109958&&CNTRY407,0,0.0
IMP110076&&CNTRY759,0,0.0
IMP110109&&CNTRY364,0,0.0
IMP110109&&CNTRY765,0,0.0
IMP110340&&CNTRY618,1,1.0
IMP110489&&CNTRY140,0,0.0
IMP110489&&CNTRY184,0,0.0
IMP110489&&CNTRY264,0,0.0
IMP110489&&CNTRY277,0,0.0
IMP110489&&CNTRY321,0,0.0
IMP110489&&CNTRY334,0,0.0
IMP110489&&CNTRY351,1,1.0
IMP110489&&CNTRY376,0,0.0
IMP110489&&CNTRY409,0,0.0
IMP110489&&CNTRY454,0,0.0
IMP110489&&CNTRY562,0,0.0
IMP110489&&CNTRY615,1,0.1111111111111111
IMP110489&&CNTRY653,0,0.0
IMP110489&&CNTRY680,0,0.0
IMP110489&&CNTRY713,0,0.0
