,IMPORTER.TIN&&TARIFF.CODE,IMPORTER.TIN&&TARIFF.CODE_illicit_Qsum,IMPORTER.TIN&&TARIFF.CODE_illicit_Qrate
0,IMP545640&&8703232225,0,0
1,IMP252323&&8703321220,0,0
2,IMP194834&&8704212025,0,0
3,IMP668188&&3901100000,0,0
4,IMP395619&&8517180000,0,0
5,IMP450852&&8703242100,0,0
6,IMP911330&&8517180000,0,0
7,IMP450852&&4911100000,0,0
8,IMP514650&&8703232926,0,0
9,IMP450969&&8702101319,0,0
10,IMP158220&&8703331928,0,0
11,IMP173637&&8703321922,0,0
12,IMP705884&&8703232926,0,0
13,IMP697888&&8907100000,0,0
14,IMP741011&&8481300000,0,0
15,IMP762355&&8535290000,0,0
16,IMP468811&&8702101319,0,0
17,IMP450852&&8703232926,0,0
18,IMP720753&&8517180000,0,0
19,IMP638768&&8703900000,0,0
20,IMP993091&&8703241128,0,0
21,IMP331888&&8703210011,0,0
22,IMP346397&&3904100000,0,0
23,IMP582640&&8703222900,0,0
24,IMP575285&&4011500000,0,0
25,IMP129307&&8703241128,0,0
26,IMP465411&&5801900000,0,0
27,IMP142940&&8703241128,0,0
28,IMP275266&&4802690000,0,0
29,IMP417830&&8536200000,0,0
30,IMP482566&&8703321922,0,0
31,IMP522051&&8703231119,0,0
32,IMP731188&&8703241128,0,0
33,IMP664947&&3905300000,0,0
34,IMP300514&&8703900000,0,0
35,IMP871286&&8517180000,0,0
36,IMP165224&&8703222900,0,0
37,IMP830465&&8702101319,0,0
38,IMP358915&&8703242900,0,0
39,IMP905084&&8703900000,0,0
40,IMP152810&&8702101319,0,0
41,IMP837219&&8703331124,0,0
42,IMP902662&&8703222900,0,0
43,IMP585253&&8703241128,0,0
44,IMP451441&&8703232926,0,0
45,IMP294703&&8702101319,0,0
46,IMP566902&&8703242100,0,0
47,IMP468811&&8703331226,0,0
48,IMP446948&&8703241128,0,0
49,IMP662011&&8703900000,0,0
50,IMP934643&&8702902099,0,0
51,IMP235251&&8703222900,0,0
52,IMP261908&&5007200000,0,0
53,IMP576016&&8704212025,0,0
54,IMP602640&&8703222900,0,0
55,IMP418859&&8703241128,0,0
56,IMP165224&&8703242900,0,0
57,IMP158220&&8483200000,0,0
58,IMP284988&&8703241128,0,0
59,IMP960205&&8702101319,0,0
60,IMP970801&&8703241128,0,0
61,IMP496378&&8703210011,0,0
62,IMP124597&&8703332100,0,0
63,IMP721342&&8429510000,0,0
64,IMP826164&&8704231924,0,0
65,IMP762355&&8201100011,0,0
66,IMP435297&&8703242900,0,0
67,IMP238427&&7308909000,0,0
68,IMP179534&&8703242100,0,0
69,IMP261031&&8703242100,0,0
70,IMP435297&&8703232926,0,0
71,IMP765282&&8703232124,0,0
72,IMP322908&&8703241128,0,0
73,IMP853002&&8704231122,0,0
74,IMP976580&&8703222900,0,0
75,IMP934643&&8702102029,0,0
76,IMP865057&&8473300000,0,0
77,IMP697425&&8703331928,0,0
78,IMP839288&&8703331928,0,0
79,IMP235251&&8703232926,0,0
80,IMP142940&&8703222900,0,0
81,IMP152015&&8703321922,0,0
82,IMP337218&&5607500000,0,0
83,IMP845278&&8703222900,0,0
84,IMP152810&&8703331226,0,0
85,IMP764499&&8430410000,0,0
86,IMP444534&&8704212025,0,0
87,IMP112691&&8440900000,0,0
88,IMP509522&&3204160000,0,0
89,IMP715456&&8517180000,0,0
90,IMP173637&&8703232926,0,0
91,IMP130305&&8703321922,0,0
92,IMP654182&&8703210011,0,0
93,IMP911330&&8703241128,0,0
94,IMP965305&&8703321922,0,0
95,IMP473850&&8704212025,0,0
96,IMP397091&&8703232926,0,0
97,IMP365475&&8703321922,0,0
98,IMP461608&&8702101319,0,0
99,IMP422356&&8703232926,0,0
100,IMP132928&&8705900000,0,0
101,IMP120631&&8703242900,0,0
102,IMP317454&&8703241128,0,0
103,IMP446948&&8544490000,0,0
104,IMP592970&&8703232926,0,0
105,IMP243951&&8703241128,0,0
106,IMP830465&&8473300000,0,0
107,IMP358915&&7323100000,0,0
108,IMP351195&&3921120000,0,0
109,IMP995597&&8704900099,0,0
110,IMP943231&&3810000000,0,0
111,IMP482566&&8703900000,0,0
112,IMP715356&&8703332900,0,0
113,IMP616856&&8507200000,0,0
114,IMP120631&&8703900000,0,0
115,IMP783432&&8703321922,0,0
116,IMP440223&&8703241128,0,0
117,IMP818665&&8703222900,0,0
118,IMP502913&&8703222900,0,0
119,IMP715456&&8703241128,0,0
120,IMP557327&&8703232926,0,0
121,IMP530144&&5801900000,0,0
122,IMP545640&&8703321922,0,0
123,IMP389795&&8703232225,0,0
124,IMP660556&&8703222900,0,0
125,IMP152015&&8703222900,0,0
126,IMP704075&&8703241128,0,0
127,IMP439370&&8703241128,0,0
128,IMP897252&&904110000,0,0
129,IMP824798&&8703222900,0,0
130,IMP444534&&8703241128,0,0
131,IMP339215&&8703210011,0,0
132,IMP278851&&8704322000,0,0
133,IMP894296&&8703210011,0,0
134,IMP393792&&8703231221,0,0
135,IMP475311&&4901999000,0,0
136,IMP179534&&8703900000,0,0
137,IMP194834&&8703222900,0,0
138,IMP237401&&8703241128,0,0
139,IMP638434&&8302410000,0,0
140,IMP720986&&8703900000,0,0
141,IMP560489&&8702101319,0,0
142,IMP921040&&8517180000,0,0
143,IMP288464&&8703321220,0,0
144,IMP798907&&8703232926,0,0
145,IMP674947&&8703241128,0,0
146,IMP806682&&8702902099,0,0
147,IMP233628&&8703900000,0,0
148,IMP446948&&8703231221,0,0
149,IMP207129&&8703232926,0,0
150,IMP329077&&8703232926,0,0
151,IMP674511&&8703222900,0,0
152,IMP804413&&8703241128,0,0
153,IMP151873&&8703321922,0,0
154,IMP179534&&8703222900,0,0
155,IMP951496&&8703900000,0,0
156,IMP385327&&3004900000,0,0
157,IMP173637&&5204190000,0,0
158,IMP837081&&8703232926,0,0
159,IMP302697&&8517180000,0,0
160,IMP413288&&8703241128,0,0
161,IMP413429&&8703241128,0,0
162,IMP480296&&8703241136,0,0
163,IMP446948&&8702902099,0,0
164,IMP995522&&5801900000,0,0
165,IMP142940&&8703321220,0,0
166,IMP522479&&8703332100,0,0
167,IMP900492&&5801900000,0,0
168,IMP844837&&8703331928,0,0
169,IMP555103&&8703900000,0,0
170,IMP450852&&8703900000,0,0
171,IMP223477&&4802570000,0,0
172,IMP447222&&8466200000,0,0
173,IMP151367&&8704322000,0,0
174,IMP381347&&808100000,0,0
175,IMP732143&&5511300000,0,0
176,IMP555103&&8703241128,0,0
177,IMP397091&&8703232225,0,0
178,IMP439866&&8703222900,0,0
179,IMP447222&&8703222900,0,0
180,IMP822061&&7007110000,0,0
181,IMP243951&&8703222900,0,0
182,IMP624912&&7208390000,0,0
183,IMP163708&&8703321922,0,0
184,IMP352883&&8703241128,0,0
185,IMP397390&&9207900000,0,0
186,IMP243951&&8702101319,0,0
187,IMP606875&&2002902000,0,0
188,IMP381347&&3902100000,0,0
189,IMP392040&&2204210000,0,0
190,IMP307848&&8703232926,0,0
191,IMP831109&&7323100000,0,0
192,IMP916902&&8517180000,0,0
193,IMP368858&&8702102029,0,0
194,IMP271968&&8704212025,0,0
195,IMP287020&&8704322000,0,0
196,IMP496378&&8703331226,0,0
197,IMP747754&&8703232926,0,0
198,IMP916498&&8703331928,0,0
199,IMP221718&&8703331226,0,0
200,IMP965305&&5801900000,0,0
201,IMP818665&&8703231119,0,0
202,IMP643203&&8704212025,0,0
203,IMP450852&&8703241128,0,0
204,IMP934273&&8703332100,0,0
205,IMP924304&&8703231119,0,0
206,IMP995597&&8703900000,0,0
207,IMP832758&&8703232926,0,0
208,IMP745669&&3920100000,0,0
209,IMPO14576&&8484200000,0,0
210,IMPO18200&&8716398090,0,0
211,IMPO19245&&6406909099,0,0
212,IMPO16184&&3926909229,0,0
213,IMPO19578&&8409990009,0,0
214,IMPO14029&&9032108900,0,0
215,IMPO16400&&5806200000,0,0
216,IMPO19601&&8516108091,0,0
217,IMPO10407&&3005100002,0,0
218,IMPO11025&&3004900019,0,0
219,IMPO18767&&6205200009,0,0
220,IMPO19253&&3809105000,0,0
221,IMPO17282&&5807109010,0,0
222,IMPO14494&&7009100001,0,0
