IMPORTER.TIN&&TARIFF.CODE,IMPORTER.TIN&&TARIFF.CODE_illicit_sum,IMPORTER.TIN&&TARIFF.CODE_illicit_rate
IMP100143&&8703241128,0,0.0
IMP100143&&8703900000,1,1.0
IMP100143&&9027800000,0,0.0
IMP100185&&8703242200,0,0.0
IMP100185&&8703321220,0,0.0
IMP100227&&3004900000,0,0.0
IMP100227&&3904100000,0,0.0
IMP100227&&4011200000,0,0.0
IMP100227&&4202120012,0,0.0
IMP100227&&5503200000,0,0.0
IMP100227&&5801900000,0,0.0
IMP100227&&6908900000,0,0.0
IMP100227&&7010902900,0,0.0
IMP100227&&7604210000,1,1.0
IMP100227&&808100000,0,0.0
IMP100227&&8428900000,0,0.0
IMP100227&&8443130000,0,0.0
IMP100227&&8460290000,0,0.0
IMP100227&&8473300000,0,0.0
IMP100227&&8481100000,0,0.0
IMP100227&&8513100000,0,0.0
IMP100227&&8517180000,0,0.0
IMP100227&&8702101319,0,0.0
IMP100227&&8702102029,0,0.0
IMP100227&&8702902099,0,0.0
IMP100227&&8703210011,0,0.0
IMP100227&&8703222900,0,0.0
IMP100227&&8703231119,0,0.0
IMP100227&&8703231221,0,0.0
IMP100227&&8703232124,0,0.0
IMP100227&&8703232225,0,0.0
IMP100227&&8703232926,0,0.0
IMP100227&&8703241128,0,0.0
IMP100227&&8703242100,0,0.0
IMP100227&&8703242900,0,0.0
IMP100227&&8703321922,0,0.0
IMP100227&&8703331226,0,0.0
IMP100227&&8703331928,0,0.0
IMP100227&&8703900000,0,0.0
IMP100227&&8704232000,1,0.5
IMP100227&&8704322000,0,0.0
IMP100326&&8703332900,0,0.0
IMP100326&&8711101000,0,0.0
IMP100762&&8203200000,1,1.0
IMP100955&&1905310000,0,0.0
IMP100955&&3920490044,1,1.0
IMP100993&&401300000,1,1.0
IMP100993&&8703242900,0,0.0
IMP101045&&6805200000,0,0.0
IMP101045&&7411100000,1,1.0
IMP101058&&8423900000,1,1.0
IMP101058&&8703241128,0,0.0
IMP101058&&8705900000,0,0.0
IMP101341&&7323100000,0,0.0
IMP101341&&8302200000,0,0.0
IMP101341&&8465100000,0,0.0
IMP101341&&8528410000,0,0.0
IMP101341&&8702101319,0,0.0
IMP101341&&8703241128,0,0.0
IMP101341&&8703331226,0,0.0
IMP101341&&8703332900,0,0.0
IMP101355&&1806200000,0,0.0
IMP101355&&2918110000,1,1.0
IMP101355&&8523400000,0,0.0
IMP101372&&3902300000,0,0.0
IMP101372&&3903900000,0,0.0
IMP101372&&8703222200,1,1.0
IMP101372&&8704231924,0,0.0
IMP101413&&210990000,0,0.0
IMP101469&&3004900000,0,0.0
IMP101469&&8212200000,0,0.0
IMP101469&&8438900000,0,0.0
IMP101469&&8502120013,0,0.0
IMP101469&&8704321919,0,0.0
IMP101544&&4901100000,0,0.0
IMP101752&&8703222900,0,0.0
IMP101752&&8703332100,0,0.0
IMP101870&&3004310000,1,1.0
IMP101870&&3920490049,0,0.0
IMP101870&&4016990000,0,0.0
IMP101870&&5801900000,0,0.0
IMP101870&&603900000,0,0.0
IMP101870&&6809190000,1,1.0
IMP101911&&2922420044,0,0.0
IMP102011&&8423200000,0,0.0
IMP102011&&8703222900,0,0.0
IMP102036&&8452300000,0,0.0
IMP102036&&8703242100,0,0.0
IMP102239&&9015800000,1,1.0
IMP102358&&1905320000,1,1.0
IMP102358&&8483500000,0,0.0
IMP102358&&8703331928,0,0.0
IMP102504&&4700000000,0,0.0
IMP102504&&8703900000,0,0.0
IMP102504&&9403200000,0,0.0
IMP102595&&3907200000,0,0.0
IMP102851&&8430410000,0,0.0
IMP102851&&9403900091,0,0.0
IMP102903&&3208909000,0,0.0
IMP102903&&3811290000,0,0.0
IMP102903&&5610000000,1,1.0
IMP102903&&6117800000,0,0.0
IMP102903&&8703222900,0,0.0
IMP102903&&8703232926,0,0.0
IMP102903&&8703242100,0,0.0
IMP102903&&8703321922,0,0.0
IMP102903&&8703332100,0,0.0
IMP102903&&8704322000,0,0.0
IMP103000&&8428100000,0,0.0
IMP103000&&8702101319,0,0.0
IMP103000&&8703210011,0,0.0
IMP103000&&8703222900,0,0.0
IMP103000&&8703232124,0,0.0
IMP103000&&8703241128,0,0.0
IMP103000&&8703242100,0,0.0
IMP103000&&8703331226,0,0.0
IMP103000&&8711201000,0,0.0
IMP103242&&1108120012,0,0.0
IMP103242&&8431490000,0,0.0
IMP103242&&8702101319,0,0.0
IMP103460&&8474390000,0,0.0
IMP103505&&3902300000,1,1.0
IMP103505&&5503200000,0,0.0
IMP103505&&7222300000,0,0.0
IMP103505&&8438300000,0,0.0
