,IMPORTER.TIN,IMPORTER.TIN_illicit_Qsum,IMPORTER.TIN_illicit_Qrate
0,IMP545640,3,2
1,IMP252323,1,3
2,IMP194834,2,1
3,IMP668188,3,3
4,IMP395619,0,0
5,IMP450852,3,2
6,IMP911330,1,1
7,IMP514650,2,1
8,IMP450969,1,1
9,IMP158220,3,1
10,IMP173637,3,1
11,IMP705884,1,3
12,IMP697888,0,3
13,IMP741011,0,0
14,IMP762355,0,0
15,IMP468811,3,2
16,IMP720753,3,1
17,IMP638768,1,3
18,IMP993091,2,1
19,IMP331888,0,3
20,IMP346397,3,2
21,IMP582640,0,3
22,IMP575285,0,3
23,IMP129307,3,1
24,IMP465411,2,1
25,IMP142940,2,1
26,IMP275266,0,3
27,IMP417830,0,3
28,IMP482566,3,3
29,IMP522051,2,1
30,IMP731188,3,3
31,IMP664947,0,3
32,IMP300514,3,2
33,IMP871286,2,2
34,IMP165224,2,2
35,IMP830465,3,2
36,IMP358915,3,2
37,IMP905084,0,3
38,IMP152810,3,2
39,IMP837219,3,3
40,IMP902662,3,2
41,IMP585253,3,1
42,IMP451441,3,2
43,IMP294703,3,2
44,IMP566902,0,0
45,IMP446948,1,0
46,IMP662011,2,2
47,IMP934643,3,2
48,IMP235251,1,1
49,IMP261908,3,3
50,IMP576016,3,2
51,IMP602640,0,0
52,IMP418859,2,3
53,IMP284988,1,3
54,IMP960205,3,1
55,IMP970801,2,3
56,IMP496378,1,1
57,IMP124597,3,2
58,IMP721342,0,3
59,IMP826164,3,1
60,IMP435297,2,1
61,IMP238427,3,2
62,IMP179534,3,2
63,IMP261031,0,3
64,IMP765282,3,3
65,IMP322908,1,1
66,IMP853002,2,2
67,IMP976580,0,3
68,IMP865057,1,3
69,IMP697425,3,1
70,IMP839288,3,3
71,IMP152015,3,2
72,IMP337218,1,3
73,IMP845278,0,0
74,IMP764499,3,2
75,IMP444534,0,0
76,IMP112691,2,3
77,IMP509522,1,3
78,IMP715456,1,2
79,IMP130305,2,2
80,IMP654182,1,3
81,IMP965305,3,1
82,IMP473850,0,1
83,IMP397091,1,1
84,IMP365475,0,3
85,IMP461608,3,2
86,IMP422356,3,2
87,IMP132928,0,0
88,IMP120631,3,2
89,IMP317454,1,1
90,IMP592970,3,2
91,IMP243951,3,1
92,IMP351195,2,2
93,IMP995597,2,2
94,IMP943231,0,3
95,IMP715356,2,2
96,IMP616856,0,3
97,IMP783432,0,3
98,IMP440223,2,1
99,IMP818665,1,3
100,IMP502913,1,3
101,IMP557327,1,2
102,IMP530144,0,3
103,IMP389795,3,2
104,IMP660556,1,1
105,IMP704075,0,0
106,IMP439370,1,1
107,IMP897252,0,3
108,IMP824798,2,1
109,IMP339215,1,3
110,IMP278851,0,0
111,IMP894296,3,3
112,IMP393792,2,1
113,IMP475311,3,2
114,IMP237401,0,1
115,IMP638434,0,3
116,IMP720986,2,1
117,IMP560489,1,2
118,IMP921040,0,0
119,IMP288464,2,2
120,IMP798907,1,2
121,IMP674947,0,1
122,IMP806682,0,3
123,IMP233628,3,1
124,IMP207129,3,2
125,IMP329077,0,3
126,IMP674511,0,0
127,IMP804413,0,0
128,IMP151873,0,3
129,IMP951496,0,1
130,IMP385327,2,2
131,IMP837081,1,3
132,IMP302697,3,2
133,IMP413288,0,3
134,IMP413429,2,2
135,IMP480296,0,3
136,IMP995522,3,2
137,IMP522479,2,2
138,IMP900492,3,2
139,IMP844837,2,2
140,IMP555103,3,2
141,IMP223477,0,2
142,IMP447222,3,2
143,IMP151367,0,3
144,IMP381347,3,2
145,IMP732143,0,0
146,IMP439866,3,2
147,IMP822061,1,3
148,IMP624912,0,0
149,IMP163708,2,2
150,IMP352883,3,2
151,IMP397390,1,3
152,IMP606875,2,2
153,IMP392040,2,2
154,IMP307848,1,2
155,IMP831109,3,2
156,IMP916902,0,0
157,IMP368858,0,3
158,IMP271968,2,2
159,IMP287020,3,2
160,IMP747754,1,3
161,IMP916498,0,0
162,IMP221718,3,3
163,IMP643203,2,1
164,IMP934273,2,1
165,IMP924304,1,2
166,IMP832758,3,2
167,IMP745669,1,3
168,IMPO14576,0,0
169,IMPO18200,1,1
170,IMPO19245,0,3
171,IMPO16184,1,1
172,IMPO19578,2,1
173,IMPO14029,1,3
174,IMPO16400,1,1
175,IMPO19601,2,3
176,IMPO10407,1,3
177,IMPO11025,1,0
178,IMPO18767,2,0
179,IMPO19253,0,0
180,IMPO17282,3,2
181,IMPO14494,0,0
182,IMPO11316,3,1
183,IMPO19080,1,0
184,IMPO17403,0,0
185,IMPO15928,2,2
186,IMPO13631,2,3
187,IMPO19604,1,1
188,IMPO13889,0,3
189,IMPO15783,0,0
190,IMPO13867,0,3
191,IMPO15844,1,3
192,IMPO18253,0,3
193,IMPO19832,1,1
194,IMPO16612,0,3
195,IMPO17426,1,3
196,IMPO18788,0,0
197,IMPO11033,0,0
198,IMPO12945,0,3
199,IMPO11563,0,0
200,IMPO10976,1,0
201,IMPO12985,2,1
202,IMPO14670,1,1
203,IMPO12669,0,0
204,IMPO16510,0,0
205,IMPO11058,3,3
206,IMPO12643,1,3
207,IMPO10711,1,3
208,IMPO14890,2,2
209,IMPO18973,0,3
210,IMPO11938,0,3
211,IMPO12250,1,1
212,IMPO16593,1,3
213,IMPO12265,0,3
214,IMPO15052,0,0
215,IMPO16658,3,2
216,IMPO15765,2,0
217,IMPO10638,1,3
218,IMPO17781,0,0
219,IMPO18445,0,3
220,IMPO11135,0,0
221,IMPO18189,1,0
222,IMPO10956,0,3
223,IMPO18968,1,3
224,IMPO11265,0,3
225,IMPO12485,1,1
226,IMPO12610,0,0
227,IMPO16995,1,1
228,IMPO13165,1,0
229,IMPO17958,0,0
230,IMPO15859,2,1
231,IMPO16865,2,1
232,IMPO19879,2,2
233,IMPO13403,1,3
234,IMPO19924,0,3
235,IMPO19390,2,0
236,IMPO10302,0,3
237,IMPO17391,1,1
238,IMPO12514,2,3
239,IMPO12124,1,3
240,IMPO12598,0,3
241,IMPO19547,1,3
242,IMPO12835,1,3
243,IMPO18432,0,3
244,IMPO10684,1,3
245,IMPO14863,1,3
246,IMPO18806,2,1
247,IMPO11779,2,1
248,IMPO15198,0,3
249,IMPO14394,0,0
250,IMPO10267,1,0
251,IMPO11063,3,2
252,IMPO12950,0,3
253,IMPO11509,1,1
254,IMPO16157,0,0
255,IMPO18333,0,2
256,IMPO19469,1,0
257,IMPO14386,1,3
258,IMP474316,1,1
259,IMP280692,3,1
260,IMP776989,0,0
261,IMP206242,1,1
262,IMP678988,0,0
263,IMP511342,0,3
264,IMP172475,1,3
265,IMP909394,2,3
266,IMP172368,0,0
267,IMP344527,2,3
268,IMP594770,1,3
269,IMP717735,3,3
270,IMP280132,0,3
271,IMP107102,0,3
272,IMP980531,2,2
273,IMP317314,3,2
274,IMP229787,0,1
275,IMP810695,3,2
276,IMP915889,2,3
277,IMP383391,0,0
278,IMP712264,3,2
279,IMP216660,2,2
280,IMP909911,1,3
281,IMP115734,0,3
282,IMP954081,1,3
283,IMP546339,2,1
284,IMP352125,1,1
285,IMP386453,3,2
286,IMP657028,1,3
287,IMP629453,0,0
