IMPORTER.TIN,IMPORTER.TIN_illicit_sum,IMPORTER.TIN_illicit_rate
IMP100143,1,0.3333333333333333
IMP100185,0,0.0
IMP100227,2,0.027777777777777776
IMP100326,0,0.0
IMP100762,1,1.0
IMP100955,1,0.5
IMP100993,1,0.5
IMP101045,1,0.5
IMP101058,1,0.3333333333333333
IMP101341,0,0.0
IMP101355,1,0.3333333333333333
IMP101372,1,0.25
IMP101413,0,0.0
IMP101469,0,0.0
IMP101544,0,0.0
IMP101752,0,0.0
IMP101870,2,0.3333333333333333
IMP101911,0,0.0
IMP102011,0,0.0
IMP102036,0,0.0
IMP102239,1,1.0
IMP102358,1,0.3333333333333333
IMP102504,0,0.0
IMP102595,0,0.0
IMP102851,0,0.0
IMP102903,1,0.1
IMP103000,0,0.0
IMP103242,0,0.0
IMP103460,0,0.0
IMP103505,1,0.09090909090909091
IMP103515,1,1.0
IMP103712,1,0.3333333333333333
IMP103793,0,0.0
IMP104261,1,1.0
IMP104291,1,0.14285714285714285
IMP104457,0,0.0
IMP104513,0,0.0
IMP104514,0,0.0
IMP104521,1,1.0
IMP104558,1,1.0
IMP104936,0,0.0
IMP105011,5,0.8333333333333334
IMP105110,0,0.0
IMP105158,0,0.0
IMP105313,1,0.3333333333333333
IMP105423,0,0.0
IMP105445,0,0.0
IMP105664,1,0.2
IMP105879,0,0.0
IMP106124,1,1.0
IMP106205,0,0.0
IMP106237,9,0.024657534246575342
IMP106616,0,0.0
IMP106825,0,0.0
IMP107008,1,1.0
IMP107102,1,0.14285714285714285
IMP107182,1,0.5
IMP107196,1,0.3333333333333333
IMP107241,0,0.0
IMP107345,0,0.0
IMP107373,1,0.5
IMP107380,0,0.0
IMP107442,2,0.4
IMP107534,0,0.0
IMP107695,0,0.0
IMP107856,1,0.5
IMP107864,0,0.0
IMP107927,1,0.3333333333333333
IMP108058,1,0.5
IMP108162,1,0.3333333333333333
IMP108282,0,0.0
IMP108297,0,0.0
IMP108528,1,0.5
IMP108534,0,0.0
IMP108660,2,0.5
IMP108764,1,0.25
IMP108769,0,0.0
IMP108897,0,0.0
IMP108969,2,0.5
IMP109033,1,0.1111111111111111
IMP109040,1,0.25
IMP109328,0,0.0
IMP109473,0,0.0
IMP109771,1,0.25
IMP109772,0,0.0
IMP109890,1,0.5
IMP109958,0,0.0
IMP110076,0,0.0
IMP110109,0,0.0
IMP110340,1,1.0
IMP110489,7,0.04294478527607362
IMP110518,0,0.0
IMP110562,0,0.0
IMP110592,1,0.25
IMP110602,0,0.0
IMP110637,0,0.0
IMP110695,0,0.0
IMP110787,1,0.5
IMP110861,0,0.0
IMP110862,0,0.0
IMP110877,1,1.0
IMP110917,1,1.0
IMP111414,3,0.6
IMP111420,1,1.0
IMP111441,0,0.0
IMP111521,0,0.0
IMP111528,1,0.125
IMP111588,0,0.0
IMP111712,1,0.5
IMP111744,2,0.2857142857142857
IMP111751,1,1.0
IMP111951,1,1.0
IMP112053,0,0.0
IMP112111,0,0.0
IMP112187,1,0.2
IMP112307,0,0.0
IMP112394,0,0.0
IMP112686,0,0.0
IMP112688,4,0.029197080291970802
IMP112691,4,0.07017543859649122
IMP112738,1,0.3333333333333333
IMP112882,1,0.5
IMP112891,1,0.3333333333333333
IMP112918,2,0.044444444444444446
IMP113079,1,0.25
IMP113121,1,1.0
IMP113131,0,0.0
IMP113413,1,0.25
IMP113522,1,0.14285714285714285
IMP113815,1,1.0
IMP113851,0,0.0
IMP113888,1,0.3333333333333333
IMP114013,0,0.0
IMP114177,1,0.14285714285714285
IMP114215,0,0.0
IMP114251,1,0.25
IMP114262,0,0.0
IMP114267,1,0.125
IMP114305,1,1.0
IMP114349,1,1.0
IMP114372,1,0.3333333333333333
IMP114480,0,0.0
IMP114581,0,0.0
IMP114639,1,0.2
IMP114754,0,0.0
IMP114823,1,0.5
IMP114857,1,0.5
IMP114858,0,0.0
IMP114988,1,1.0
IMP115035,1,1.0
IMP115044,0,0.0
IMP115079,1,0.5
IMP115117,0,0.0
IMP115292,2,0.5
IMP115340,0,0.0
IMP115355,1,0.3333333333333333
IMP115394,1,1.0
IMP115605,0,0.0
IMP115624,0,0.0
IMP115642,2,0.6666666666666666
IMP115712,0,0.0
IMP115734,1,0.5
IMP115928,1,0.5
IMP116006,0,0.0
IMP116038,0,0.0
IMP116231,0,0.0
IMP116541,0,0.0
IMP116640,0,0.0
IMP116670,0,0.0
IMP117192,0,0.0
IMP117287,0,0.0
IMP117342,0,0.0
IMP117406,2,0.023255813953488372
IMP117673,2,1.0
IMP117708,4,0.4444444444444444
IMP117895,0,0.0
IMP117973,0,0.0
IMP118044,1,0.125
IMP118216,0,0.0
IMP118294,0,0.0
IMP118321,2,0.6666666666666666
IMP118334,1,0.5
IMP118491,1,0.14285714285714285
IMP118500,0,0.0
IMP118629,0,0.0
IMP118631,1,0.2
IMP118808,0,0.0
IMP118992,0,0.0
IMP119037,2,0.6666666666666666
IMP119202,1,0.25
IMP119299,0,0.0
