,OFFICE&&IMPORTER.TIN,OFFICE&&IMPORTER.TIN_illicit_Qsum,OFFICE&&IMPORTER.TIN_illicit_Qrate
0,OFFICE60&&IMP545640,0,1
1,OFFICE24&&IMP252323,0,0
2,OFFICE59&&IMP194834,0,1
3,OFFICE60&&IMP668188,0,0
4,OFFICE59&&IMP395619,0,0
5,OFFICE40&&IMP450852,0,0
6,OFFICE92&&IMP911330,0,0
7,OFFICE59&&IMP450852,1,1
8,OFFICE51&&IMP514650,0,0
9,OFFICE40&&IMP450969,0,1
10,OFFICE92&&IMP158220,0,0
11,OFFICE51&&IMP173637,1,0
12,OFFICE51&&IMP705884,0,1
13,OFFICE51&&IMP697888,0,1
14,OFFICE59&&IMP741011,0,0
15,OFFICE92&&IMP762355,0,0
16,OFFICE40&&IMP468811,0,1
17,OFFICE51&&IMP450852,1,0
18,OFFICE59&&IMP720753,0,0
19,OFFICE51&&IMP638768,0,1
20,OFFICE59&&IMP993091,0,0
21,OFFICE60&&IMP331888,0,0
22,OFFICE23&&IMP346397,0,0
23,OFFICE59&&IMP582640,0,0
24,OFFICE40&&IMP575285,0,1
25,OFFICE51&&IMP129307,1,0
26,OFFICE59&&IMP465411,1,1
27,OFFICE51&&IMP142940,0,0
28,OFFICE16&&IMP275266,0,1
29,OFFICE81&&IMP417830,0,0
30,OFFICE40&&IMP482566,0,0
31,OFFICE51&&IMP522051,0,0
32,OFFICE51&&IMP731188,1,1
33,OFFICE96&&IMP664947,0,1
34,OFFICE76&&IMP300514,1,1
35,OFFICE51&&IMP871286,1,1
36,OFFICE51&&IMP165224,0,0
37,OFFICE92&&IMP830465,0,0
38,OFFICE51&&IMP358915,1,0
39,OFFICE51&&IMP905084,0,1
40,OFFICE59&&IMP152810,0,0
41,OFFICE51&&IMP837219,0,0
42,OFFICE92&&IMP902662,0,1
43,OFFICE51&&IMP585253,1,0
44,OFFICE51&&IMP451441,0,0
45,OFFICE59&&IMP294703,1,1
46,OFFICE51&&IMP566902,0,0
47,OFFICE51&&IMP468811,1,1
48,OFFICE59&&IMP446948,0,0
49,OFFICE51&&IMP662011,0,0
50,OFFICE59&&IMP934643,0,1
51,OFFICE59&&IMP235251,0,1
52,OFFICE51&&IMP261908,0,1
53,OFFICE51&&IMP576016,1,1
54,OFFICE51&&IMP602640,0,0
55,OFFICE60&&IMP418859,0,0
56,OFFICE40&&IMP158220,0,0
57,OFFICE51&&IMP284988,0,0
58,OFFICE51&&IMP960205,0,0
59,OFFICE51&&IMP970801,1,1
60,OFFICE59&&IMP496378,0,0
61,OFFICE40&&IMP124597,1,1
62,OFFICE51&&IMP721342,0,0
63,OFFICE51&&IMP826164,1,1
64,OFFICE84&&IMP762355,0,0
65,OFFICE40&&IMP435297,0,0
66,OFFICE51&&IMP238427,0,0
67,OFFICE51&&IMP179534,1,0
68,OFFICE59&&IMP261031,0,0
69,OFFICE51&&IMP435297,0,0
70,OFFICE51&&IMP765282,0,0
71,OFFICE51&&IMP322908,0,0
72,OFFICE23&&IMP853002,0,0
73,OFFICE51&&IMP976580,0,1
74,OFFICE92&&IMP934643,0,0
75,OFFICE59&&IMP865057,0,0
76,OFFICE92&&IMP697425,0,1
