OFFICE&&IMPORTER.TIN,OFFICE&&IMPORTER.TIN_illicit_sum,OFFICE&&IMPORTER.TIN_illicit_rate
OFFICE100&&IMPO10005,0,0.0
OFFICE100&&IMPO10006,0,0.0
OFFICE100&&IMPO10018,0,0.0
OFFICE100&&IMPO10019,0,0.0
OFFICE100&&IMPO10020,0,0.0
OFFICE100&&IMPO10025,0,0.0
OFFICE100&&IMPO10041,1,1.0
OFFICE100&&IMPO10042,0,0.0
OFFICE100&&IMPO10043,0,0.0
OFFICE100&&IMPO10067,0,0.0
OFFICE100&&IMPO10069,0,0.0
OFFICE100&&IMPO10085,0,0.0
OFFICE100&&IMPO10089,0,0.0
OFFICE100&&IMPO10094,0,0.0
OFFICE100&&IMPO10097,1,0.14285714285714285
OFFICE100&&IMPO10102,1,1.0
OFFICE100&&IMPO10107,0,0.0
OFFICE100&&IMPO10108,0,0.0
OFFICE100&&IMPO10113,1,0.3333333333333333
OFFICE100&&IMPO10124,0,0.0
OFFICE100&&IMPO10156,0,0.0
OFFICE100&&IMPO10166,0,0.0
OFFICE100&&IMPO10170,1,1.0
OFFICE100&&IMPO10175,0,0.0
OFFICE100&&IMPO10179,1,1.0
OFFICE100&&IMPO10197,0,0.0
OFFICE100&&IMPO10203,0,0.0
OFFICE100&&IMPO10205,1,1.0
OFFICE100&&IMPO10210,0,0.0
OFFICE100&&IMPO10217,0,0.0
OFFICE100&&IMPO10225,1,1.0
OFFICE100&&IMPO10228,0,0.0
OFFICE100&&IMPO10267,1,0.07142857142857142
OFFICE100&&IMPO10274,0,0.0
OFFICE100&&IMPO10281,0,0.0
OFFICE100&&IMPO10284,0,0.0
OFFICE100&&IMPO10289,1,0.5
OFFICE100&&IMPO10302,0,0.0
OFFICE100&&IMPO10315,0,0.0
OFFICE100&&IMPO10328,0,0.0
OFFICE100&&IMPO10344,0,0.0
OFFICE100&&IMPO10352,1,1.0
OFFICE100&&IMPO10366,0,0.0
OFFICE100&&IMPO10371,0,0.0
OFFICE100&&IMPO10377,0,0.0
OFFICE100&&IMPO10412,0,0.0
OFFICE100&&IMPO10421,0,0.0
OFFICE100&&IMPO10423,0,0.0
OFFICE100&&IMPO10425,0,0.0
OFFICE100&&IMPO10431,0,0.0
OFFICE100&&IMPO10444,1,0.5
OFFICE100&&IMPO10462,0,0.0
OFFICE100&&IMPO10477,0,0.0
OFFICE100&&IMPO10478,1,1.0
OFFICE100&&IMPO10482,1,0.3333333333333333
OFFICE100&&IMPO10516,0,0.0
OFFICE100&&IMPO10529,0,0.0
OFFICE100&&IMPO10535,0,0.0
OFFICE100&&IMPO10541,0,0.0
OFFICE100&&IMPO10548,1,0.5
OFFICE100&&IMPO10573,0,0.0
OFFICE100&&IMPO10592,0,0.0
OFFICE100&&IMPO10595,0,0.0
OFFICE100&&IMPO10603,0,0.0
OFFICE100&&IMPO10614,0,0.0
OFFICE100&&IMPO10622,0,0.0
OFFICE100&&IMPO10625,0,0.0
OFFICE100&&IMPO10634,0,0.0
OFFICE100&&IMPO10638,0,0.0
OFFICE100&&IMPO10646,0,0.0
OFFICE100&&IMPO10650,1,1.0
OFFICE100&&IMPO10655,1,1.0
OFFICE100&&IMPO10667,0,0.0
OFFICE100&&IMPO10676,0,0.0
OFFICE100&&IMPO10680,0,0.0
OFFICE100&&IMPO10686,0,0.0
OFFICE100&&IMPO10700,0,0.0
OFFICE100&&IMPO10706,1,0.3333333333333333
OFFICE100&&IMPO10711,0,0.0
OFFICE100&&IMPO10723,0,0.0
OFFICE100&&IMPO10735,0,0.0
OFFICE100&&IMPO10743,0,0.0
OFFICE100&&IMPO10763,0,0.0
OFFICE100&&IMPO10764,0,0.0
OFFICE100&&IMPO10773,0,0.0
OFFICE100&&IMPO10784,0,0.0
OFFICE100&&IMPO10797,0,0.0
OFFICE100&&IMPO10804,0,0.0
OFFICE100&&IMPO10805,0,0.0
OFFICE100&&IMPO10810,0,0.0
OFFICE100&&IMPO10831,1,1.0
OFFICE100&&IMPO10845,0,0.0
OFFICE100&&IMPO10856,0,0.0
OFFICE100&&IMPO10864,0,0.0
OFFICE100&&IMPO10880,0,0.0
OFFICE100&&IMPO10884,0,0.0
OFFICE100&&IMPO10890,0,0.0
OFFICE100&&IMPO10899,0,0.0
OFFICE100&&IMPO10900,0,0.0
OFFICE100&&IMPO10920,0,0.0
OFFICE100&&IMPO10939,0,0.0
OFFICE100&&IMPO10959,1,1.0
OFFICE100&&IMPO10976,1,0.09090909090909091
OFFICE100&&IMPO10984,1,1.0
OFFICE100&&IMPO10987,0,0.0
OFFICE100&&IMPO10990,0,0.0
OFFICE100&&IMPO11016,0,0.0
OFFICE100&&IMPO11017,0,0.0
OFFICE100&&IMPO11025,2,0.18181818181818182
OFFICE100&&IMPO11027,0,0.0
OFFICE100&&IMPO11049,0,0.0
OFFICE100&&IMPO11058,0,0.0
OFFICE100&&IMPO11063,0,0.0
OFFICE100&&IMPO11075,0,0.0
OFFICE100&&IMPO11080,1,0.5
OFFICE100&&IMPO11097,0,0.0
OFFICE100&&IMPO11098,1,1.0
OFFICE100&&IMPO11104,0,0.0
OFFICE100&&IMPO11110,0,0.0
OFFICE100&&IMPO11118,0,0.0
OFFICE100&&IMPO11124,0,0.0
OFFICE100&&IMPO11128,0,0.0
OFFICE100&&IMPO11158,0,0.0
OFFICE100&&IMPO11160,0,0.0
OFFICE100&&IMPO11188,1,1.0
OFFICE100&&IMPO11193,0,0.0
OFFICE100&&IMPO11200,0,0.0
OFFICE100&&IMPO11226,1,1.0
OFFICE100&&IMPO11233,1,1.0
OFFICE100&&IMPO11245,0,0.0
OFFICE100&&IMPO11259,1,1.0
OFFICE100&&IMPO11262,0,0.0
OFFICE100&&IMPO11265,0,0.0
OFFICE100&&IMPO11271,0,0.0
OFFICE100&&IMPO11284,0,0.0
OFFICE100&&IMPO11286,0,0.0
OFFICE100&&IMPO11297,0,0.0
OFFICE100&&IMPO11298,0,0.0
OFFICE100&&IMPO11299,0,0.0
OFFICE100&&IMPO11302,0,0.0
OFFICE100&&IMPO11316,0,0.0
OFFICE100&&IMPO11325,0,0.0
OFFICE100&&IMPO11326,0,0.0
OFFICE100&&IMPO11347,0,0.0
OFFICE100&&IMPO11353,0,0.0
OFFICE100&&IMPO11356,1,1.0
OFFICE100&&IMPO11366,0,0.0
OFFICE100&&IMPO11380,1,1.0
OFFICE100&&IMPO11394,0,0.0
OFFICE100&&IMPO11397,0,0.0
OFFICE100&&IMPO11416,0,0.0
OFFICE100&&IMPO11421,0,0.0
OFFICE100&&IMPO11423,0,0.0
OFFICE100&&IMPO11432,0,0.0
OFFICE100&&IMPO11439,1,0.5
OFFICE100&&IMPO11444,0,0.0
OFFICE100&&IMPO11445,0,0.0
OFFICE100&&IMPO11446,1,1.0
OFFICE100&&IMPO11454,0,0.0
OFFICE100&&IMPO11464,0,0.0
OFFICE100&&IMPO11469,0,0.0
OFFICE100&&IMPO11475,1,1.0
OFFICE100&&IMPO11483,0,0.0
OFFICE100&&IMPO11489,0,0.0
OFFICE100&&IMPO11494,1,1.0
OFFICE100&&IMPO11503,0,0.0
OFFICE100&&IMPO11509,0,0.0
OFFICE100&&IMPO11517,0,0.0
OFFICE100&&IMPO11562,1,1.0
OFFICE100&&IMPO11571,0,0.0
OFFICE100&&IMPO11580,1,1.0
OFFICE100&&IMPO11586,1,0.5
OFFICE100&&IMPO11606,0,0.0
OFFICE100&&IMPO11629,0,0.0
OFFICE100&&IMPO11647,0,0.0
OFFICE100&&IMPO11651,0,0.0
OFFICE100&&IMPO11656,0,0.0
OFFICE100&&IMPO11665,0,0.0
OFFICE100&&IMPO11679,0,0.0
OFFICE100&&IMPO11686,0,0.0
OFFICE100&&IMPO11691,0,0.0
OFFICE100&&IMPO11694,0,0.0
OFFICE100&&IMPO11695,1,0.3333333333333333
OFFICE100&&IMPO11698,0,0.0
OFFICE100&&IMPO11717,0,0.0
OFFICE100&&IMPO11732,0,0.0
OFFICE100&&IMPO11741,1,1.0
OFFICE100&&IMPO11760,0,0.0
OFFICE100&&IMPO11779,0,0.0
OFFICE100&&IMPO11782,0,0.0
OFFICE100&&IMPO11784,1,1.0
OFFICE100&&IMPO11788,0,0.0
OFFICE100&&IMPO11790,0,0.0
OFFICE100&&IMPO11800,0,0.0
OFFICE100&&IMPO11816,0,0.0
OFFICE100&&IMPO11829,0,0.0
OFFICE100&&IMPO11833,1,1.0
OFFICE100&&IMPO11850,0,0.0
OFFICE100&&IMPO11867,0,0.0
OFFICE100&&IMPO11874,0,0.0
OFFICE100&&IMPO11892,0,0.0
OFFICE100&&IMPO11904,0,0.0
OFFICE100&&IMPO11916,1,1.0
OFFICE100&&IMPO11934,0,0.0
OFFICE100&&IMPO11953,0,0.0
OFFICE100&&IMPO11958,0,0.0
OFFICE100&&IMPO11960,0,0.0
OFFICE100&&IMPO11965,0,0.0
OFFICE100&&IMPO11968,0,0.0
OFFICE100&&IMPO11981,0,0.0
OFFICE100&&IMPO11988,0,0.0
OFFICE100&&IMPO11998,0,0.0
OFFICE100&&IMPO12002,0,0.0
OFFICE100&&IMPO12005,0,0.0
OFFICE100&&IMPO12009,0,0.0
OFFICE100&&IMPO12020,0,0.0
OFFICE100&&IMPO12031,0,0.0
OFFICE100&&IMPO12064,0,0.0
OFFICE100&&IMPO12066,0,0.0
OFFICE100&&IMPO12072,0,0.0
OFFICE100&&IMPO12075,0,0.0
OFFICE100&&IMPO12076,0,0.0
OFFICE100&&IMPO12102,0,0.0
OFFICE100&&IMPO12106,0,0.0
OFFICE100&&IMPO12110,0,0.0
OFFICE100&&IMPO12116,0,0.0
OFFICE100&&IMPO12118,0,0.0
OFFICE100&&IMPO12121,1,1.0
OFFICE100&&IMPO12142,0,0.0
OFFICE100&&IMPO12151,0,0.0
OFFICE100&&IMPO12154,1,1.0
OFFICE100&&IMPO12155,0,0.0
