,OFFICE&&ORIGIN.CODE,OFFICE&&ORIGIN.CODE_illicit_Qsum,OFFICE&&ORIGIN.CODE_illicit_Qrate
0,OFFICE60&&CNTRY680,2,2
1,OFFICE24&&CNTRY376,1,3
2,OFFICE59&&CNTRY680,3,1
3,OFFICE60&&CNTRY277,2,3
4,OFFICE59&&CNTRY759,3,1
5,OFFICE40&&CNTRY759,2,1
6,OFFICE92&&CNTRY680,2,1
7,OFFICE51&&CNTRY376,3,1
8,OFFICE40&&CNTRY562,1,2
9,OFFICE92&&CNTRY759,2,2
10,OFFICE51&&CNTRY830,0,3
11,OFFICE51&&CNTRY759,3,1
12,OFFICE51&&CNTRY891,0,3
13,OFFICE59&&CNTRY615,2,2
14,OFFICE92&&CNTRY713,0,3
15,OFFICE40&&CNTRY680,3,2
16,OFFICE51&&CNTRY680,3,0
17,OFFICE60&&CNTRY454,1,2
18,OFFICE23&&CNTRY759,1,2
19,OFFICE16&&CNTRY264,0,3
20,OFFICE81&&CNTRY975,0,0
21,OFFICE40&&CNTRY376,2,2
22,OFFICE51&&CNTRY562,2,3
23,OFFICE96&&CNTRY771,0,3
24,OFFICE76&&CNTRY680,3,2
25,OFFICE51&&CNTRY994,1,3
26,OFFICE92&&CNTRY216,0,3
27,OFFICE59&&CNTRY376,3,2
28,OFFICE51&&CNTRY713,1,2
29,OFFICE51&&CNTRY622,0,0
30,OFFICE60&&CNTRY976,0,3
31,OFFICE51&&CNTRY454,2,2
32,OFFICE59&&CNTRY454,2,2
33,OFFICE84&&CNTRY562,0,3
34,OFFICE51&&CNTRY881,2,2
35,OFFICE51&&CNTRY277,2,2
36,OFFICE23&&CNTRY873,0,3
37,OFFICE24&&CNTRY277,1,3
38,OFFICE35&&CNTRY473,0,3
39,OFFICE76&&CNTRY959,0,3
40,OFFICE51&&CNTRY150,0,3
41,OFFICE24&&CNTRY680,2,2
42,OFFICE60&&CNTRY759,2,2
43,OFFICE40&&CNTRY748,0,3
44,OFFICE76&&CNTRY277,2,3
45,OFFICE76&&CNTRY962,0,3
46,OFFICE51&&CNTRY884,2,2
47,OFFICE92&&CNTRY825,1,3
