OFFICE&&ORIGIN.CODE,OFFICE&&ORIGIN.CODE_illicit_sum,OFFICE&&ORIGIN.CODE_illicit_rate
OFFICE100&&CNTRY113,0,0.0
OFFICE100&&CNTRY123,7,0.056
OFFICE100&&CNTRY125,1,0.25
OFFICE100&&CNTRY138,1,0.2
OFFICE100&&CNTRY139,4,0.3333333333333333
OFFICE100&&CNTRY140,0,0.0
OFFICE100&&CNTRY153,1,0.25
OFFICE100&&CNTRY166,1,0.3333333333333333
OFFICE100&&CNTRY171,0,0.0
OFFICE100&&CNTRY184,2,0.3333333333333333
OFFICE100&&CNTRY209,0,0.0
OFFICE100&&CNTRY215,0,0.0
OFFICE100&&CNTRY216,0,0.0
OFFICE100&&CNTRY234,2,0.3333333333333333
OFFICE100&&CNTRY236,1,0.08333333333333333
OFFICE100&&CNTRY252,0,0.0
OFFICE100&&CNTRY263,1,0.25
OFFICE100&&CNTRY264,1,0.09090909090909091
OFFICE100&&CNTRY276,1,0.5
OFFICE100&&CNTRY277,4,0.2857142857142857
OFFICE100&&CNTRY284,0,0.0
OFFICE100&&CNTRY316,4,0.5714285714285714
OFFICE100&&CNTRY317,0,0.0
OFFICE100&&CNTRY321,2,0.2222222222222222
OFFICE100&&CNTRY322,1,0.14285714285714285
OFFICE100&&CNTRY323,0,0.0
OFFICE100&&CNTRY334,2,0.25
OFFICE100&&CNTRY335,3,0.5
OFFICE100&&CNTRY351,2,0.6666666666666666
OFFICE100&&CNTRY364,1,0.25
OFFICE100&&CNTRY376,13,0.05058365758754864
OFFICE100&&CNTRY379,2,0.3333333333333333
OFFICE100&&CNTRY389,1,0.5
OFFICE100&&CNTRY390,3,0.375
OFFICE100&&CNTRY393,2,0.2222222222222222
OFFICE100&&CNTRY407,2,0.3333333333333333
OFFICE100&&CNTRY409,1,0.14285714285714285
OFFICE100&&CNTRY415,3,0.3
OFFICE100&&CNTRY429,2,0.4
OFFICE100&&CNTRY438,2,0.3333333333333333
OFFICE100&&CNTRY445,2,0.4
OFFICE100&&CNTRY454,5,0.10416666666666667
OFFICE100&&CNTRY456,2,0.2857142857142857
OFFICE100&&CNTRY480,1,0.14285714285714285
OFFICE100&&CNTRY485,5,0.23809523809523808
OFFICE100&&CNTRY527,1,0.2
OFFICE100&&CNTRY528,2,0.5
OFFICE100&&CNTRY554,1,0.1
