,OFFICE&&TARIFF.CODE,OFFICE&&TARIFF.CODE_illicit_Qsum,OFFICE&&TARIFF.CODE_illicit_Qrate
0,OFFICE60&&8703232225,1,2
1,OFFICE24&&8703321220,1,2
2,OFFICE59&&8704212025,1,2
3,OFFICE60&&3901100000,1,2
4,OFFICE59&&8517180000,2,1
5,OFFICE40&&8703242100,1,2
6,OFFICE92&&8517180000,1,2
7,OFFICE59&&4911100000,0,2
8,OFFICE51&&8703232926,2,1
9,OFFICE40&&8702101319,2,2
10,OFFICE92&&8703331928,1,2
11,OFFICE51&&8703321922,2,1
12,OFFICE51&&8907100000,0,2
13,OFFICE59&&8481300000,0,2
14,OFFICE92&&8535290000,0,0
15,OFFICE51&&8703900000,2,1
16,OFFICE59&&8703241128,2,1
17,OFFICE60&&8703210011,0,0
18,OFFICE23&&3904100000,0,0
19,OFFICE59&&8703222900,2,1
20,OFFICE40&&4011500000,0,0
21,OFFICE51&&8703241128,2,1
22,OFFICE59&&5801900000,1,2
23,OFFICE16&&4802690000,0,2
24,OFFICE81&&8536200000,0,0
25,OFFICE40&&8703321922,1,1
26,OFFICE51&&8703231119,2,1
27,OFFICE96&&3905300000,0,2
28,OFFICE76&&8703900000,2,2
29,OFFICE51&&8517180000,2,1
30,OFFICE51&&8703222900,2,1
31,OFFICE92&&8702101319,1,1
32,OFFICE51&&8703242900,2,1
33,OFFICE59&&8702101319,2,2
34,OFFICE51&&8703331124,1,2
35,OFFICE92&&8703222900,1,1
36,OFFICE51&&8703242100,2,2
37,OFFICE51&&8703331226,2,2
38,OFFICE59&&8702902099,1,2
39,OFFICE51&&5007200000,1,2
40,OFFICE51&&8704212025,2,2
41,OFFICE60&&8703241128,2,1
42,OFFICE40&&8483200000,0,0
43,OFFICE51&&8702101319,2,0
44,OFFICE59&&8703210011,2,1
45,OFFICE40&&8703332100,1,2
46,OFFICE51&&8429510000,0,0
47,OFFICE51&&8704231924,0,1
48,OFFICE84&&8201100011,0,0
49,OFFICE40&&8703242900,1,1
50,OFFICE51&&7308909000,0,2
51,OFFICE59&&8703242100,1,2
52,OFFICE51&&8703232124,1,1
53,OFFICE23&&8704231122,1,2
54,OFFICE92&&8702102029,0,0
55,OFFICE59&&8473300000,1,2
56,OFFICE59&&8703331928,1,2
57,OFFICE59&&8703232926,2,1
58,OFFICE60&&8703222900,2,2
59,OFFICE24&&8703321922,0,1
60,OFFICE35&&5607500000,0,2
61,OFFICE76&&8703222900,1,2
62,OFFICE51&&8430410000,0,2
63,OFFICE40&&8704212025,1,1
64,OFFICE59&&8440900000,0,0
65,OFFICE24&&3204160000,0,0
66,OFFICE60&&8703321922,1,1
67,OFFICE51&&8703210011,2,1
68,OFFICE76&&8702101319,1,2
69,OFFICE76&&8703232926,1,1
70,OFFICE59&&8705900000,0,2
71,OFFICE76&&8544490000,0,0
72,OFFICE51&&7323100000,1,2
73,OFFICE51&&3921120000,1,2
74,OFFICE51&&8704900099,1,2
75,OFFICE92&&3810000000,0,2
76,OFFICE76&&8703231119,1,2
77,OFFICE59&&8703900000,2,1
78,OFFICE59&&8703332900,1,2
79,OFFICE59&&8507200000,0,2
80,OFFICE88&&5801900000,0,2
81,OFFICE76&&8703321922,2,2
82,OFFICE84&&904110000,1,2
83,OFFICE59&&8704322000,1,1
84,OFFICE51&&8703231221,1,1
85,OFFICE59&&4901999000,0,0
86,OFFICE51&&8302410000,0,2
87,OFFICE59&&8703321220,1,2
88,OFFICE92&&8703232926,1,1
89,OFFICE92&&8703241128,2,1
90,OFFICE59&&8703321922,2,1
91,OFFICE59&&3004900000,1,1
92,OFFICE60&&5204190000,0,0
93,OFFICE60&&8703232926,2,1
94,OFFICE76&&8517180000,1,2
95,OFFICE18&&8703241136,0,0
96,OFFICE40&&8702902099,0,0
97,OFFICE51&&5801900000,1,2
98,OFFICE59&&4802570000,0,2
99,OFFICE40&&8466200000,0,0
100,OFFICE24&&8704322000,0,2
101,OFFICE40&&808100000,0,0
102,OFFICE23&&5511300000,0,0
103,OFFICE40&&8703232225,1,2
104,OFFICE40&&7007110000,0,0
105,OFFICE60&&7208390000,0,0
106,OFFICE40&&9207900000,0,0
107,OFFICE51&&2002902000,1,2
108,OFFICE51&&3902100000,0,0
109,OFFICE51&&2204210000,0,0
110,OFFICE60&&8702102029,1,2
111,OFFICE60&&8704322000,1,2
112,OFFICE23&&8703232926,1,2
113,OFFICE40&&8703331928,1,2
114,OFFICE51&&8703332100,1,1
115,OFFICE23&&3920100000,0,0
116,OFFICE296&&8484200000,0,0
117,OFFICE298&&8716398090,0,0
118,OFFICE168&&6406909099,0,0
119,OFFICE298&&3926909229,0,0
120,OFFICE187&&8409990009,0,0
121,OFFICE233&&9032108900,0,0
122,OFFICE187&&5806200000,1,0
123,OFFICE243&&8516108091,0,0
124,OFFICE113&&3005100002,0,2
125,OFFICE298&&3004900019,0,0
126,OFFICE168&&6205200009,0,1
127,OFFICE204&&3809105000,0,0
128,OFFICE296&&5807109010,0,0
129,OFFICE185&&7009100001,0,0
130,OFFICE168&&8536901099,0,2
131,OFFICE162&&4821901000,0,0
132,OFFICE299&&5309119000,0,0
133,OFFICE237&&8517120010,0,0
134,OFFICE298&&8541100000,0,2
135,OFFICE237&&7326909889,0,0
136,OFFICE186&&5911100010,0,2
137,OFFICE214&&8708299009,0,0
138,OFFICE187&&9804000000,1,2
139,OFFICE109&&8703239095,0,2
140,OFFICE174&&4407279900,1,2
141,OFFICE214&&3809910000,0,2
142,OFFICE214&&7308905900,0,0
143,OFFICE168&&6406209000,0,0
144,OFFICE186&&8536908599,0,0
145,OFFICE243&&4411149002,0,0
146,OFFICE186&&5508101001,0,0
147,OFFICE100&&9804000000,0,2
148,OFFICE167&&4821101000,0,0
149,OFFICE237&&8716398090,0,0
150,OFFICE296&&8609009090,0,0
151,OFFICE141&&8547200000,0,0
152,OFFICE187&&3922900002,0,0
153,OFFICE204&&8708299009,0,0
154,OFFICE178&&4010120009,0,2
155,OFFICE180&&3102309000,0,0
156,OFFICE237&&8708939002,0,2
157,OFFICE134&&4821109000,0,0
158,OFFICE134&&8714104000,0,0
159,OFFICE109&&2933199000,0,0
160,OFFICE186&&8703321961,0,0
161,OFFICE109&&5209520000,0,0
162,OFFICE168&&3917320009,0,0
163,OFFICE127&&4821109000,0,0
164,OFFICE237&&4819100000,0,1
165,OFFICE105&&8205400000,0,0
166,OFFICE134&&8203400000,0,0
167,OFFICE185&&7314140000,0,0
168,OFFICE296&&8544429092,0,0
169,OFFICE187&&8536908591,0,0
170,OFFICE126&&8448390090,0,0
171,OFFICE222&&9613100000,0,0
