OFFICE&&TARIFF.CODE,OFFICE&&TARIFF.CODE_illicit_sum,OFFICE&&TARIFF.CODE_illicit_rate
OFFICE100&&1001190000,0,0.0
OFFICE100&&1003900000,1,1.0
OFFICE100&&1005900000,0,0.0
OFFICE100&&1107109902,0,0.0
OFFICE100&&1108120009,0,0.0
OFFICE100&&1206009900,0,0.0
OFFICE100&&1302197003,0,0.0
OFFICE100&&1507109009,0,0.0
OFFICE100&&1513219000,1,1.0
OFFICE100&&1516209600,1,1.0
OFFICE100&&1702409099,0,0.0
OFFICE100&&1703100001,0,0.0
OFFICE100&&1704908100,1,1.0
OFFICE100&&1805000000,0,0.0
OFFICE100&&1806321000,0,0.0
OFFICE100&&1901901100,0,0.0
OFFICE100&&1904201000,0,0.0
OFFICE100&&1905329909,0,0.0
OFFICE100&&2001909799,0,0.0
OFFICE100&&2003102000,1,1.0
OFFICE100&&2009120000,0,0.0
OFFICE100&&2009893891,0,0.0
OFFICE100&&206909900,0,0.0
OFFICE100&&2106909810,0,0.0
OFFICE100&&2106909830,0,0.0
OFFICE100&&2204101102,0,0.0
OFFICE100&&2208304101,0,0.0
OFFICE100&&2403999005,0,0.0
OFFICE100&&2501009100,1,1.0
OFFICE100&&2513100009,0,0.0
OFFICE100&&2520200000,0,0.0
OFFICE100&&2710122199,0,0.0
OFFICE100&&2710124591,0,0.0
OFFICE100&&2710192518,0,0.0
OFFICE100&&2710192593,0,0.0
OFFICE100&&2710194790,1,0.16666666666666666
OFFICE100&&2710194890,1,0.25
OFFICE100&&2710199921,0,0.0
OFFICE100&&2710201990,1,0.5
OFFICE100&&2711110099,0,0.0
OFFICE100&&2711190011,0,0.0
OFFICE100&&2711190092,0,0.0
OFFICE100&&2711210090,0,0.0
OFFICE100&&2713200090,0,0.0
OFFICE100&&2832300000,0,0.0
OFFICE100&&2833250000,0,0.0
OFFICE100&&2834210010,0,0.0
OFFICE100&&2836200000,0,0.0
OFFICE100&&2843290000,0,0.0
OFFICE100&&2847000001,0,0.0
OFFICE100&&2902190009,0,0.0
OFFICE100&&2903120000,0,0.0
OFFICE100&&2905120009,0,0.0
OFFICE100&&2905299000,1,1.0
OFFICE100&&2908190000,0,0.0
OFFICE100&&2912420000,0,0.0
OFFICE100&&2915210000,0,0.0
OFFICE100&&2915907009,0,0.0
OFFICE100&&2916200000,1,1.0
OFFICE100&&2918160000,0,0.0
OFFICE100&&2918220000,0,0.0
OFFICE100&&2921519000,0,0.0
OFFICE100&&2922131000,1,1.0
OFFICE100&&2933299000,1,1.0
OFFICE100&&2933399909,0,0.0
OFFICE100&&2933599500,0,0.0
OFFICE100&&2933998000,0,0.0
OFFICE100&&3003900019,0,0.0
OFFICE100&&3004900019,0,0.0
OFFICE100&&3204120000,0,0.0
OFFICE100&&3204200000,0,0.0
