,TARIFF.CODE&&ORIGIN.CODE,TARIFF.CODE&&ORIGIN.CODE_illicit_Qsum,TARIFF.CODE&&ORIGIN.CODE_illicit_Qrate
0,8703232225&&CNTRY680,2,2
1,8703321220&&CNTRY376,1,2
2,8704212025&&CNTRY680,2,2
3,3901100000&&CNTRY277,0,0
4,8517180000&&CNTRY759,2,1
5,8703242100&&CNTRY759,2,2
6,8517180000&&CNTRY680,2,1
7,4911100000&&CNTRY680,0,0
8,8703232926&&CNTRY376,2,1
9,8702101319&&CNTRY562,1,2
10,8703331928&&CNTRY759,1,2
11,8703321922&&CNTRY830,0,0
12,8703232926&&CNTRY759,2,1
13,8907100000&&CNTRY891,0,2
14,8481300000&&CNTRY615,0,0
15,8535290000&&CNTRY713,0,0
16,8702101319&&CNTRY680,2,1
17,8703232926&&CNTRY680,2,1
18,8703900000&&CNTRY680,2,1
19,8703241128&&CNTRY615,2,1
20,8703210011&&CNTRY454,1,2
21,3904100000&&CNTRY759,0,0
22,8703222900&&CNTRY680,2,1
23,4011500000&&CNTRY562,0,0
24,8703241128&&CNTRY680,2,1
25,5801900000&&CNTRY680,1,2
26,8703241128&&CNTRY759,2,1
27,4802690000&&CNTRY264,0,2
28,8536200000&&CNTRY975,0,0
29,8703321922&&CNTRY376,1,1
30,8703231119&&CNTRY562,0,2
31,3905300000&&CNTRY771,0,2
32,8703222900&&CNTRY994,0,2
33,8702101319&&CNTRY216,0,0
34,8703242900&&CNTRY759,2,2
35,8703900000&&CNTRY759,2,2
36,8702101319&&CNTRY615,1,1
37,8703331124&&CNTRY680,1,2
38,8703242100&&CNTRY680,2,2
39,8703331226&&CNTRY680,2,2
40,8702902099&&CNTRY759,1,1
41,8703222900&&CNTRY376,2,2
42,5007200000&&CNTRY713,0,0
43,8703222900&&CNTRY622,0,0
44,8703241128&&CNTRY976,0,0
45,8703242900&&CNTRY680,2,2
46,8483200000&&CNTRY680,0,0
47,8703241128&&CNTRY454,2,2
48,8702101319&&CNTRY376,2,2
49,8703332100&&CNTRY759,2,2
50,8429510000&&CNTRY994,0,0
51,8704231924&&CNTRY680,0,1
52,8201100011&&CNTRY562,0,0
53,7308909000&&CNTRY881,0,0
54,8703232124&&CNTRY277,1,2
55,8704231122&&CNTRY873,0,0
56,8702102029&&CNTRY680,0,1
57,8473300000&&CNTRY759,2,2
58,8703331928&&CNTRY680,1,1
59,8703321922&&CNTRY277,2,2
60,5607500000&&CNTRY473,0,2
61,8703222900&&CNTRY959,0,0
62,8703331226&&CNTRY759,1,1
63,8430410000&&CNTRY150,0,0
64,8704212025&&CNTRY562,0,2
65,8440900000&&CNTRY680,0,0
66,3204160000&&CNTRY680,0,0
67,8703321922&&CNTRY759,2,1
68,8703210011&&CNTRY680,2,2
69,8703232926&&CNTRY454,1,2
70,8703321922&&CNTRY748,0,0
71,8702101319&&CNTRY277,1,2
72,8705900000&&CNTRY680,0,0
73,8544490000&&CNTRY962,0,0
74,8473300000&&CNTRY680,2,2
75,7323100000&&CNTRY680,1,2
76,3921120000&&CNTRY884,0,0
77,8704900099&&CNTRY759,1,2
78,3810000000&&CNTRY825,0,0
79,8703231119&&CNTRY680,2,1
80,8703332900&&CNTRY680,1,2
81,8507200000&&CNTRY759,0,0
82,8703222900&&CNTRY759,2,1
83,8703241128&&CNTRY277,1,1
84,5801900000&&CNTRY764,0,2
85,8703321922&&CNTRY125,0,0
86,8703232225&&CNTRY491,0,0
87,8703222900&&CNTRY830,0,0
88,8703222900&&CNTRY615,1,1
89,904110000&&CNTRY323,0,2
90,8703210011&&CNTRY713,0,0
