TARIFF.CODE&&ORIGIN.CODE,TARIFF.CODE&&ORIGIN.CODE_illicit_sum,TARIFF.CODE&&ORIGIN.CODE_illicit_rate
1001100000&&CNTRY150,0,0.0
1001100000&&CNTRY234,1,1.0
1001100000&&CNTRY277,1,1.0
1001100000&&CNTRY284,0,0.0
1001100000&&CNTRY652,1,1.0
1001100000&&CNTRY680,0,0.0
1001100000&&CNTRY759,0,0.0
1001100000&&CNTRY830,1,0.5
1001100000&&CNTRY866,1,1.0
1001190000&&CNTRY123,0,0.0
1001190000&&CNTRY166,0,0.0
1001190000&&CNTRY215,0,0.0
1001190000&&CNTRY234,0,0.0
1001190000&&CNTRY376,0,0.0
1001190000&&CNTRY555,0,0.0
1001190000&&CNTRY618,0,0.0
1001190000&&CNTRY652,0,0.0
1001190000&&CNTRY654,0,0.0
1001190000&&CNTRY701,0,0.0
1001190000&&CNTRY748,0,0.0
1001190000&&CNTRY756,0,0.0
1001190000&&CNTRY771,0,0.0
1001190000&&CNTRY976,0,0.0
1001190000&&CNTRY994,0,0.0
1001900000&&CNTRY215,2,1.0
1001900000&&CNTRY216,1,1.0
1001900000&&CNTRY277,0,0.0
1001900000&&CNTRY284,0,0.0
1001900000&&CNTRY376,0,0.0
1001900000&&CNTRY429,0,0.0
1001900000&&CNTRY436,0,0.0
1001900000&&CNTRY454,1,1.0
1001900000&&CNTRY546,0,0.0
1001900000&&CNTRY558,0,0.0
1001900000&&CNTRY615,0,0.0
1001900000&&CNTRY644,0,0.0
1001900000&&CNTRY654,0,0.0
1001900000&&CNTRY680,0,0.0
1001900000&&CNTRY713,0,0.0
1001900000&&CNTRY756,0,0.0
1001900000&&CNTRY759,0,0.0
1001900000&&CNTRY846,0,0.0
1001900000&&CNTRY859,0,0.0
1001900000&&CNTRY881,0,0.0
1001900000&&CNTRY884,0,0.0
1001900000&&CNTRY959,0,0.0
1001900000&&CNTRY988,0,0.0
1001900000&&CNTRY994,0,0.0
1001990004&&CNTRY554,1,1.0
1001990004&&CNTRY846,1,1.0
1003900000&&CNTRY215,0,0.0
1003900000&&CNTRY234,1,1.0
1003900000&&CNTRY454,0,0.0
1003900000&&CNTRY485,1,1.0
1005100000&&CNTRY234,0,0.0
1005100000&&CNTRY364,1,1.0
1005100000&&CNTRY615,0,0.0
1005100000&&CNTRY837,1,1.0
1005100000&&CNTRY846,1,1.0
1005100000&&CNTRY863,1,1.0
1005100000&&CNTRY873,0,0.0
1005900000&&CNTRY123,0,0.0
1005900000&&CNTRY376,0,0.0
1005900000&&CNTRY454,0,0.0
1005900000&&CNTRY554,0,0.0
1005900000&&CNTRY618,0,0.0
1005900000&&CNTRY652,0,0.0
1005900000&&CNTRY680,0,0.0
1005900000&&CNTRY716,0,0.0
1005900000&&CNTRY759,0,0.0
1005900000&&CNTRY825,0,0.0
1005900000&&CNTRY846,0,0.0
1005900000&&CNTRY884,0,0.0
1005900000&&CNTRY915,1,1.0
1005900000&&CNTRY976,1,0.25
1005900000&&CNTRY994,0,0.0
1006301000&&CNTRY171,1,1.0
1006301000&&CNTRY184,1,1.0
1006301000&&CNTRY277,1,0.5
1006301000&&CNTRY376,0,0.0
1006301000&&CNTRY429,1,1.0
1006301000&&CNTRY454,0,0.0
1006301000&&CNTRY555,0,0.0
1006301000&&CNTRY680,0,0.0
1006301000&&CNTRY764,1,1.0
1006301000&&CNTRY825,0,0.0
1006301031&&CNTRY139,0,0.0
1006301031&&CNTRY376,0,0.0
1006301031&&CNTRY680,0,0.0
1006301031&&CNTRY759,0,0.0
1006301031&&CNTRY837,1,1.0
1006301031&&CNTRY975,0,0.0
1006301031&&CNTRY988,0,0.0
1006301039&&CNTRY277,1,1.0
1006301039&&CNTRY454,0,0.0
1006301039&&CNTRY709,0,0.0
1006301039&&CNTRY765,1,1.0
1006301039&&CNTRY863,0,0.0
1006301039&&CNTRY884,0,0.0
1006306590&&CNTRY652,0,0.0
1006306590&&CNTRY764,0,0.0
1006306590&&CNTRY846,0,0.0
1006306790&&CNTRY317,0,0.0
