,TARIFF.CODE,TARIFF.CODE_illicit_Qsum,TARIFF.CODE_illicit_Qrate
0,8703232225,2,2
1,8703321220,2,2
2,8704212025,2,2
3,3901100000,2,3
4,8517180000,3,1
5,8703242100,2,2
6,4911100000,0,3
7,8703232926,3,1
8,8702101319,3,1
9,8703331928,2,2
10,8703321922,3,1
11,8907100000,1,3
12,8481300000,0,3
13,8535290000,0,3
14,8703900000,3,2
15,8703241128,3,1
16,8703210011,2,2
17,3904100000,1,3
18,8703222900,3,1
19,4011500000,0,3
20,5801900000,2,2
21,4802690000,0,3
22,8536200000,0,3
23,8703231119,2,2
24,3905300000,0,3
25,8703242900,2,2
26,8703331124,2,2
27,8703331226,2,2
28,8702902099,2,2
29,5007200000,2,3
30,8483200000,0,3
31,8703332100,2,2
32,8429510000,0,3
33,8704231924,2,2
34,8201100011,0,3
35,7308909000,0,3
36,8703232124,2,2
37,8704231122,2,3
38,8702102029,2,2
39,8473300000,2,2
40,5607500000,0,3
41,8430410000,0,3
42,8440900000,0,3
43,3204160000,0,3
44,8705900000,0,3
45,8544490000,0,3
46,7323100000,2,2
47,3921120000,2,3
48,8704900099,2,3
49,3810000000,1,3
50,8703332900,2,2
51,8507200000,0,3
52,904110000,1,3
53,8704322000,2,2
54,8703231221,2,2
55,4901999000,1,3
56,8302410000,1,3
57,3004900000,2,2
58,5204190000,1,3
59,8703241136,0,3
60,4802570000,2,3
61,8466200000,0,3
62,808100000,2,2
63,5511300000,0,3
64,7007110000,0,3
65,7208390000,0,3
66,9207900000,0,3
67,2002902000,0,3
68,3902100000,2,3
69,2204210000,1,3
70,3920100000,0,3
71,8484200000,0,3
72,8716398090,0,0
73,6406909099,0,1
74,3926909229,1,0
75,8409990009,1,0
76,9032108900,0,3
77,5806200000,2,0
78,8516108091,0,3
79,3005100002,0,3
80,3004900019,2,2
81,6205200009,0,0
82,3809105000,0,0
83,5807109010,1,0
84,7009100001,1,3
85,8536901099,1,3
86,4821901000,1,3
87,5309119000,0,3
88,8517120010,0,2
89,8541100000,0,1
90,7326909889,1,0
91,5911100010,0,3
92,8708299009,1,2
93,9804000000,1,1
94,8703239095,0,3
95,4407279900,0,3
96,3809910000,2,3
97,7308905900,0,3
98,6406209000,0,2
99,8536908599,1,0
100,4411149002,0,3
101,5508101001,0,3
102,4821101000,0,0
103,8609009090,1,0
104,8547200000,1,0
105,3922900002,0,0
106,4010120009,0,3
107,3102309000,0,0
108,8708939002,0,3
109,4821109000,2,1
110,8714104000,0,3
111,2933199000,0,0
112,8703321961,0,2
113,5209520000,0,3
114,3917320009,1,3
115,4819100000,2,0
116,8205400000,0,3
117,8203400000,0,3
118,7314140000,0,0
119,8544429092,0,3
120,8536908591,1,2
121,8448390090,0,0
122,9613100000,0,3
123,8703219030,0,0
124,8481900090,0,3
125,6110209909,0,3
126,3919108000,1,3
127,8716400009,1,1
128,5808900098,0,0
129,8533210000,1,1
130,3404900009,0,3
131,8479908000,1,0
132,8421310000,1,2
133,3004200010,0,0
134,8538909109,0,3
135,406909209,0,3
136,8424200000,1,3
137,7806008090,0,3
138,3814009009,0,0
139,7216509900,0,0
140,9606100010,1,0
141,8467119009,0,3
142,6217900003,0,1
143,8703319090,0,1
144,7407211000,0,3
145,6004100000,0,2
146,8547900003,0,3
147,4821909000,1,0
148,1702409010,0,3
149,9607110000,1,2
150,8704232000,1,3
151,8431310000,1,3
152,8421210022,0,3
153,8703221113,1,3
154,4011400000,0,3
155,8203200000,0,3
156,3920490044,0,3
157,2707300000,0,3
158,2836300000,0,3
159,8516790000,0,3
160,3924902000,0,3
161,3405900000,0,0
162,8430610000,0,3
163,8708700000,1,3
164,7308300000,2,3
165,8430500000,0,3
166,2401100000,0,3
167,9405400000,1,3
168,9018110000,0,3
169,8536500000,1,3
170,7318290000,0,3
171,2909430000,0,3
172,8483100000,0,3
173,2207209000,0,3
174,2820000000,0,3
175,1604150000,0,3
176,2905120000,0,3
177,7315190011,1,3
178,4819400000,0,3
179,7320100000,0,3
180,8703222100,2,3
181,4009110000,0,3
182,6907900000,2,2
183,8471300039,1,3
184,7606129000,0,3
185,7323940000,0,3
186,3915300000,2,3
187,8481800000,0,3
188,3808920000,1,3
189,2106909091,0,3
190,2906110000,0,3
191,7307920000,0,3
192,6217900009,1,1
193,4811900089,0,3
194,3926909799,0,0
195,8533401009,0,3
196,8708999799,0,0
197,5402330000,2,1
198,8421392000,2,1
199,3003900019,0,2
200,4114200001,0,3
201,8703229050,2,0
202,9503003019,0,3
203,2106909810,0,3
204,6309000002,1,1
205,3811900009,0,3
206,5807101010,1,1
207,9032102000,1,0
208,5512999001,0,3
209,8504409090,0,1
210,8452900009,0,0
211,4113200000,0,3
212,5004009000,0,0
213,8538909902,1,0
214,9018908439,1,3
215,3923409000,0,0
216,7616999099,2,2
217,2921599000,0,3
218,8542399090,2,2
219,8703329091,2,0
220,8411990000,0,3
221,5209420000,1,1
222,4911109092,0,3
223,8453900000,0,3
224,8538909909,2,1
225,4011209020,0,3
226,8536700090,0,3
227,5209390000,0,2
228,8419500000,0,3
229,8413810042,0,0
230,4011100090,0,3
231,9801000000,1,0
232,1701910002,0,3
233,6304990009,0,3
234,8544492000,0,0
235,5513490009,0,0
236,3001902009,0,3
237,5903209000,1,3
238,6211490084,1,3
239,406908100,0,0
240,8703229030,0,3
241,3923299080,1,0
242,9001402000,0,3
243,4806401000,0,3
244,8501310001,1,0
245,5514420000,0,3
246,7211190000,0,0
247,3913900009,0,3
248,6204399099,0,0
249,8704219941,0,0
250,2915704000,0,0
251,8452300000,2,3
252,8481809998,0,1
253,4011100010,0,0
254,4415202001,1,2
255,8533290000,0,3
256,2710124591,1,0
257,6302939009,0,0
258,5209320000,1,2
259,8516720000,0,3
260,3926909779,1,2
261,9030310000,0,3
262,8708309103,0,2
263,4016920000,0,3
264,8708999792,0,2
265,5209290000,0,0
266,8207909900,1,2
267,8311100000,0,3
268,3901109000,0,3
269,4016995709,1,2
270,2909490000,0,3
271,8703231226,0,3
272,8703241932,1,2
273,8484100000,0,3
274,9019200000,0,3
275,6001920000,0,3
276,8504210000,0,3
277,305490000,0,0
278,6908900000,0,3
279,3808930000,0,3
280,8545110000,1,3
281,3302100000,1,3
282,9018900000,0,3
283,8422190000,0,3
284,8417900000,0,3
285,8471410043,0,3
286,6704900000,0,3
287,8466940000,0,2
288,8413919000,0,3
289,7010901200,0,0
290,8703221920,1,3
291,7010902122,0,3
292,9305990000,0,0
293,5901900000,1,3
294,8212100000,0,3
295,1517100000,0,3
296,303790000,2,3
297,5503200000,0,3
298,303740000,1,3
299,6207220000,0,3
300,6903200000,0,3
301,8716909000,1,3
302,8708990000,0,3
303,8408900000,1,3
304,4009420000,0,3
305,2918290000,0,0
306,6912001000,0,3
307,8703322100,2,3
308,3901200000,1,3
309,1806901000,0,3
310,6406100000,1,3
311,5204200000,2,3
312,2401200000,0,3
313,3909400000,0,2
314,4011200000,2,2
315,4810920092,0,3
316,8702901396,0,3
317,8421230000,0,2
318,2005510000,0,3
319,9507900000,1,3
320,7202419000,0,0
321,3104205000,0,0
322,101210001,0,0
323,3506100000,0,3
324,4810220010,0,3
325,2901290009,0,3
326,9607190000,1,2
327,8703239091,1,2
328,8536508020,0,3
329,8512301000,0,3
330,8467298504,0,3
331,8537101000,0,3
332,2922498500,0,3
333,8513100090,0,3
334,7320909000,1,2
335,7307998000,0,3
336,8536508096,1,2
337,3303001099,0,3
338,7010909921,0,3
339,2933599500,0,0
340,2811210000,0,3
341,8528594009,0,0
342,8482109000,1,3
343,2849100000,0,3
344,6104420001,0,0
345,3505105000,0,0
346,8428909099,0,3
347,6110309903,0,2
348,9013809099,0,0
349,2803000001,0,3
350,5603139010,0,3
351,8308200001,0,3
352,5811000030,0,3
353,2915705000,0,0
354,206909900,0,3
355,8527910000,1,3
356,2713200000,0,3
357,2939420000,0,3
358,8448200000,0,3
359,8447900000,0,3
360,3207200000,0,3
361,7312109000,0,3
362,8711201000,1,3
363,3202100000,1,3
364,2922190000,0,3
365,2710193900,2,3
366,6907100000,0,3
367,8501320000,0,3
368,1901900091,1,3
369,7601100000,0,3
370,5010000000,1,3
371,8438900000,0,2
372,8706001300,0,3
373,7212100000,1,3
374,8214900000,0,3
375,6304930097,0,3
376,5607900000,0,3
377,8412900000,1,3
378,2208700000,0,3
379,4000000000,0,3
380,6805200000,1,3
381,8211920000,0,3
382,8443390000,0,3
383,8414598090,0,3
384,2203000903,0,0
385,4107911011,0,3
386,7318220000,0,0
387,8544119090,0,3
388,8414592010,0,0
389,8421990020,2,2
390,8207509000,0,3
391,3208201000,0,3
392,8536901020,1,1
393,3923299030,1,3
394,6203423103,0,3
395,9503009909,0,3
396,8301401900,0,3
397,105119901,0,0
398,4911101000,1,3
399,8544300090,1,1
400,2003102000,0,3
401,8480200000,0,3
402,2501009991,0,3
403,8302490009,0,2
404,4016930000,0,0
405,3920930000,0,0
406,7315119090,0,0
407,5211320000,0,0
408,3307410000,1,3
409,6006420000,1,3
410,2832300000,0,3
411,1806903100,0,0
412,8205598009,0,1
413,3915901100,0,3
414,5515113000,0,0
415,8708939009,0,1
416,5107101001,0,3
417,8207709000,0,3
418,4009110019,0,3
419,8501200010,0,3
420,8418999039,0,3
421,8443321030,0,3
422,5401101200,0,1
423,7321119091,0,3
